kural_number,couplet,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
1,அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு.,0.49623516,0.50592697,0.5139904,0.52871704,0.53507805,0.52270186,0.60275286,0.5191831,0.59602773,0.5676058,authority.virtue,0.60275286
2,கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்.,0.6022875,0.58432424,0.54109836,0.5248747,0.5944375,0.4992254,0.6183706,0.49563763,0.63377076,0.6193861,sanctity.virtue,0.63377076
3,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார்.,0.5283805,0.5010021,0.50533843,0.5033911,0.6549811,0.49921852,0.54923415,0.5182773,0.53817195,0.56308824,loyalty.virtue,0.6549811
4,வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல.,0.48755947,0.46097973,0.483067,0.48229423,0.5519509,0.48672226,0.46504685,0.5376332,0.51945364,0.5098833,loyalty.virtue,0.5519509
5,இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,0.53754133,0.45929733,0.44211102,0.43300897,0.4832969,0.44814453,0.52151966,0.43599954,0.617061,0.48597038,sanctity.virtue,0.617061
6,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்.,0.35628256,0.34229803,0.3752315,0.3772634,0.38919422,0.40011537,0.41735676,0.40023595,0.45043084,0.38519132,sanctity.virtue,0.45043084
7,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாற்றல் அரிது.,0.48422134,0.48119816,0.5015917,0.51078784,0.4929347,0.4987926,0.48927724,0.5535773,0.5125538,0.49512053,authority.vice,0.5535773
8,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது.,0.30845052,0.2937717,0.2961005,0.26913297,0.2986917,0.2563797,0.31023502,0.31335303,0.3688096,0.36832976,sanctity.virtue,0.3688096
9,கோளில் பொறியின் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை.,0.3635957,0.38779682,0.34047347,0.45432365,0.40534595,0.4027235,0.4526709,0.42624146,0.4413499,0.48847556,sanctity.vice,0.48847556
10,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் இறைவன் அடிசேரா தார்.,0.30560556,0.1825413,0.2173064,0.16831131,0.22631498,0.19572957,0.29267874,0.19830725,0.37780255,0.21721512,sanctity.virtue,0.37780255
11,வான்நின்று உலகம் வழங்கி வருதலால் தான்அமிழ்தம் என்றுணரற் பாற்று.,0.42355815,0.46088582,0.4229967,0.44180647,0.44870993,0.43044254,0.47606143,0.44986352,0.4959545,0.56931484,sanctity.vice,0.56931484
12,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் துப்பாய தூஉம் மழை.,0.30001298,0.36766997,0.28785264,0.3178159,0.31031197,0.32816157,0.32404348,0.33817106,0.33835667,0.38432652,sanctity.vice,0.38432652
13,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து உள்நின்று உடற்றும் பசி.,0.37417433,0.39437753,0.3051802,0.38047388,0.3715443,0.36307344,0.37343156,0.40068805,0.43835288,0.50989264,sanctity.vice,0.50989264
14,ஏரின் உழாஅர் உழவர் புயல்என்னும் வாரி வளங்குன்றிக் கால்.,0.39361393,0.3892788,0.3713005,0.3867229,0.4020964,0.3644153,0.41003674,0.3933544,0.41655174,0.46502274,sanctity.vice,0.46502274
15,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை.,0.43283102,0.4581812,0.40488294,0.4269402,0.45009837,0.38249826,0.47677305,0.38036552,0.47308713,0.50679797,sanctity.vice,0.50679797
16,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே பசும்புல் தலைகாண்பு அரிது.,0.39774638,0.3677347,0.3336114,0.3531558,0.34277463,0.3233898,0.33769765,0.3602737,0.4337113,0.46210185,sanctity.vice,0.46210185
17,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி தான்நல்கா தாகி விடின்.,0.391928,0.376788,0.36111054,0.38009435,0.42447686,0.35618693,0.4378503,0.3329279,0.45529202,0.41898608,sanctity.virtue,0.45529202
18,சிறப்பொடு பூசனை செல்லாது வானம் வறக்குமேல் வானோர்க்கும் ஈண்டு.,0.43324018,0.43070298,0.41189787,0.44018027,0.42080393,0.4113206,0.43439335,0.47207117,0.50723505,0.56120855,sanctity.vice,0.56120855
19,தானம் தவம்இரண்டும் தங்கா வியன்உலகம் வானம் வழங்கா தெனின்.,0.5947563,0.4729791,0.48482275,0.41636384,0.5057044,0.45485252,0.53133446,0.4313358,0.6237368,0.46889317,sanctity.virtue,0.6237368
20,நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும் வான்இன்று அமையாது ஒழுக்கு.,0.43164226,0.40580994,0.42268425,0.42367584,0.4318211,0.42399308,0.4424352,0.46141732,0.48807666,0.479286,sanctity.virtue,0.48807666
