id,dominant_lexicon,dominant_embedding
1,sanctity.virtue,sanctity.vice
2,care.vice,sanctity.vice
3,care.vice,sanctity.vice
4,authority.virtue,authority.virtue
5,care.virtue,loyalty.virtue
6,care.virtue,loyalty.virtue
7,care.vice,sanctity.virtue
8,,sanctity.vice
9,fairness.virtue,sanctity.virtue
10,care.virtue,care.virtue
11,care.virtue,authority.vice
12,sanctity.vice,sanctity.virtue
13,care.virtue,sanctity.virtue
14,care.vice,sanctity.vice
15,authority.vice,care.virtue
16,care.virtue,sanctity.virtue
17,care.vice,care.virtue
18,loyalty.virtue,loyalty.virtue
19,care.virtue,care.virtue
20,care.virtue,sanctity.vice
21,care.vice,sanctity.vice
22,care.vice,authority.virtue
23,sanctity.vice,care.vice
24,sanctity.virtue,loyalty.virtue
25,care.vice,loyalty.virtue
26,care.vice,sanctity.vice
27,care.vice,care.vice
28,care.vice,authority.virtue
29,care.virtue,sanctity.virtue
30,care.vice,authority.vice
31,care.virtue,sanctity.virtue
32,authority.virtue,sanctity.vice
33,care.virtue,sanctity.vice
34,loyalty.virtue,sanctity.virtue
35,sanctity.vice,loyalty.virtue
36,,loyalty.virtue
37,loyalty.virtue,care.virtue
38,authority.virtue,care.virtue
39,care.vice,care.vice
40,care.virtue,care.virtue
41,,authority.virtue
42,fairness.virtue,sanctity.vice
43,,care.vice
44,authority.virtue,authority.virtue
45,authority.virtue,sanctity.vice
46,care.vice,care.vice
47,care.virtue,care.virtue
48,,care.virtue
49,loyalty.virtue,loyalty.virtue
50,care.virtue,authority.virtue
51,authority.virtue,authority.virtue
52,care.vice,loyalty.virtue
53,care.virtue,care.virtue
54,sanctity.vice,authority.virtue
55,care.vice,care.vice
56,sanctity.virtue,care.virtue
57,care.virtue,care.virtue
58,loyalty.virtue,loyalty.virtue
59,,sanctity.virtue
60,care.vice,authority.virtue
61,,authority.virtue
62,fairness.virtue,authority.virtue
63,sanctity.virtue,sanctity.vice
64,care.virtue,care.virtue
65,care.virtue,care.virtue
66,,sanctity.vice
67,loyalty.virtue,loyalty.virtue
68,care.virtue,care.virtue
69,care.vice,sanctity.virtue
70,care.virtue,loyalty.vice
71,care.virtue,authority.virtue
72,fairness.vice,sanctity.vice
73,,loyalty.vice
74,care.vice,authority.virtue
75,,care.virtue
76,sanctity.virtue,authority.virtue
77,,sanctity.virtue
78,care.vice,loyalty.virtue
79,care.vice,loyalty.virtue
80,loyalty.virtue,loyalty.virtue
81,,sanctity.vice
82,,authority.vice
83,,care.vice
84,sanctity.virtue,authority.virtue
85,authority.virtue,authority.virtue
86,care.virtue,care.virtue
87,sanctity.virtue,care.vice
88,,sanctity.virtue
89,sanctity.virtue,care.virtue
90,care.vice,care.virtue
91,sanctity.vice,care.virtue
92,authority.virtue,sanctity.vice
93,care.vice,sanctity.vice
