id,dominant_lexicon,dominant_embedding
1,care.virtue,care.virtue
2,care.virtue,care.virtue
3,sanctity.virtue,sanctity.virtue
4,authority.virtue,sanctity.virtue
5,care.virtue,care.virtue
6,sanctity.virtue,care.virtue
7,care.vice,sanctity.vice
8,authority.virtue,authority.virtue
9,care.virtue,care.virtue
10,sanctity.vice,loyalty.virtue
11,care.virtue,care.virtue
12,care.virtue,care.virtue
13,care.vice,sanctity.virtue
14,authority.virtue,authority.virtue
15,care.virtue,care.virtue
16,authority.virtue,care.virtue
17,authority.virtue,sanctity.virtue
18,loyalty.virtue,care.virtue
19,loyalty.virtue,sanctity.virtue
20,loyalty.virtue,sanctity.virtue
21,care.virtue,care.virtue
22,authority.virtue,authority.virtue
23,loyalty.virtue,loyalty.virtue
24,care.virtue,care.virtue
25,care.virtue,care.virtue
26,care.virtue,care.virtue
27,sanctity.vice,authority.virtue
28,care.vice,authority.virtue
29,sanctity.vice,care.virtue
30,loyalty.virtue,authority.vice
31,sanctity.virtue,sanctity.virtue
32,care.virtue,care.virtue
33,authority.virtue,authority.virtue
34,care.virtue,sanctity.virtue
35,sanctity.virtue,sanctity.virtue
36,authority.virtue,care.virtue
37,care.vice,care.virtue
38,authority.virtue,sanctity.virtue
39,care.virtue,sanctity.virtue
40,care.vice,sanctity.virtue
41,sanctity.vice,loyalty.virtue
42,care.virtue,sanctity.virtue
43,authority.virtue,sanctity.virtue
44,care.virtue,care.virtue
45,care.vice,sanctity.virtue
46,sanctity.virtue,sanctity.virtue
47,care.virtue,care.virtue
48,care.virtue,care.virtue
49,authority.virtue,authority.virtue
50,authority.virtue,care.virtue
51,authority.virtue,care.virtue
52,loyalty.virtue,authority.virtue
53,authority.virtue,sanctity.virtue
54,loyalty.virtue,sanctity.virtue
55,authority.virtue,care.virtue
56,sanctity.virtue,authority.virtue
57,care.virtue,authority.virtue
58,care.vice,sanctity.vice
59,sanctity.virtue,sanctity.virtue
60,care.vice,care.virtue
61,loyalty.virtue,care.virtue
62,authority.virtue,loyalty.virtue
63,loyalty.virtue,care.virtue
64,authority.virtue,care.virtue
65,authority.virtue,sanctity.virtue
66,care.virtue,sanctity.virtue
67,authority.virtue,authority.virtue
68,authority.virtue,sanctity.virtue
69,care.vice,sanctity.virtue
70,sanctity.vice,sanctity.virtue
71,authority.virtue,loyalty.virtue
72,care.vice,authority.virtue
73,loyalty.virtue,care.vice
74,care.virtue,care.virtue
75,care.vice,sanctity.virtue
76,authority.virtue,care.virtue
77,authority.virtue,authority.virtue
78,loyalty.virtue,sanctity.vice
79,sanctity.virtue,care.virtue
80,sanctity.vice,authority.virtue
81,sanctity.virtue,care.virtue
82,sanctity.virtue,loyalty.virtue
83,care.virtue,care.virtue
84,loyalty.virtue,care.virtue
85,care.virtue,care.virtue
86,sanctity.virtue,care.virtue
87,sanctity.virtue,care.virtue
88,care.virtue,care.virtue
89,care.virtue,care.virtue
90,authority.virtue,care.virtue
91,loyalty.virtue,care.virtue
92,authority.virtue,care.virtue
93,care.vice,care.virtue
94,authority.virtue,care.virtue
95,care.virtue,care.virtue
96,authority.virtue,sanctity.virtue
97,authority.virtue,care.virtue
98,loyalty.virtue,authority.virtue
99,authority.virtue,care.virtue
100,sanctity.vice,care.virtue
101,loyalty.virtue,care.virtue
102,authority.virtue,authority.virtue
103,care.virtue,care.virtue
104,sanctity.virtue,care.virtue
105,care.virtue,care.virtue
106,authority.virtue,care.virtue
107,sanctity.virtue,loyalty.virtue
108,authority.virtue,care.virtue
109,care.virtue,care.virtue
110,authority.virtue,authority.virtue
111,authority.virtue,authority.virtue
112,fairness.vice,care.virtue
113,sanctity.virtue,authority.virtue
114,sanctity.virtue,authority.virtue
115,loyalty.virtue,sanctity.virtue
116,authority.virtue,care.virtue
117,care.virtue,care.virtue
118,care.virtue,loyalty.virtue
119,authority.virtue,loyalty.virtue
120,care.vice,loyalty.virtue
121,care.vice,sanctity.virtue
122,care.vice,sanctity.virtue
123,sanctity.virtue,care.virtue
124,authority.virtue,loyalty.virtue
125,sanctity.vice,loyalty.virtue
126,sanctity.virtue,care.virtue
127,authority.virtue,sanctity.virtue
128,care.vice,care.virtue
129,authority.virtue,authority.virtue
130,sanctity.virtue,care.virtue
131,authority.virtue,care.virtue
132,authority.virtue,care.virtue
133,care.virtue,authority.virtue
134,authority.virtue,sanctity.virtue
135,sanctity.virtue,care.virtue
136,care.virtue,authority.virtue
137,authority.virtue,loyalty.virtue
