id,dominant_lexicon,dominant_embedding
1,sanctity.virtue,sanctity.virtue
2,care.virtue,care.virtue
3,sanctity.virtue,care.virtue
4,care.virtue,care.virtue
5,sanctity.virtue,loyalty.virtue
6,sanctity.virtue,authority.vice
7,authority.virtue,sanctity.virtue
8,sanctity.virtue,sanctity.virtue
9,sanctity.virtue,sanctity.virtue
10,sanctity.virtue,sanctity.virtue
11,sanctity.virtue,sanctity.virtue
12,authority.virtue,sanctity.virtue
13,authority.virtue,authority.vice
14,sanctity.virtue,sanctity.virtue
15,loyalty.virtue,sanctity.virtue
16,loyalty.virtue,sanctity.virtue
17,care.virtue,sanctity.virtue
18,authority.virtue,sanctity.virtue
19,sanctity.vice,sanctity.virtue
20,care.vice,sanctity.virtue
21,loyalty.virtue,sanctity.virtue
22,loyalty.virtue,authority.virtue
23,care.vice,sanctity.virtue
24,sanctity.virtue,sanctity.virtue
25,loyalty.virtue,authority.virtue
26,care.virtue,sanctity.virtue
27,care.vice,authority.virtue
28,loyalty.virtue,sanctity.virtue
29,authority.virtue,sanctity.virtue
30,care.vice,sanctity.virtue
31,sanctity.virtue,care.virtue
32,sanctity.virtue,authority.virtue
33,sanctity.virtue,sanctity.virtue
34,care.virtue,care.virtue
35,loyalty.virtue,sanctity.virtue
36,care.virtue,sanctity.virtue
37,authority.virtue,authority.virtue
38,authority.virtue,sanctity.virtue
39,loyalty.virtue,care.virtue
40,sanctity.virtue,care.virtue
41,sanctity.virtue,care.virtue
42,authority.virtue,authority.virtue
43,sanctity.virtue,authority.virtue
44,care.virtue,sanctity.virtue
45,care.virtue,sanctity.virtue
46,loyalty.virtue,authority.virtue
47,authority.virtue,sanctity.virtue
48,sanctity.virtue,sanctity.virtue
49,care.virtue,authority.virtue
50,care.virtue,care.virtue
51,care.virtue,loyalty.virtue
52,loyalty.virtue,sanctity.virtue
53,care.vice,care.virtue
54,authority.virtue,authority.virtue
55,care.virtue,care.virtue
56,care.virtue,care.virtue
57,loyalty.virtue,loyalty.virtue
58,care.vice,authority.virtue
59,loyalty.virtue,sanctity.virtue
60,care.virtue,loyalty.virtue
61,care.virtue,sanctity.virtue
62,care.vice,sanctity.virtue
63,care.virtue,sanctity.virtue
64,sanctity.virtue,authority.virtue
65,sanctity.virtue,loyalty.virtue
66,sanctity.virtue,sanctity.virtue
67,sanctity.virtue,authority.virtue
68,sanctity.virtue,sanctity.virtue
69,sanctity.virtue,care.virtue
70,care.vice,care.virtue
71,authority.virtue,care.virtue
72,care.virtue,sanctity.virtue
73,care.virtue,care.virtue
74,sanctity.virtue,sanctity.virtue
75,loyalty.virtue,care.virtue
76,care.virtue,care.virtue
77,care.virtue,care.virtue
78,authority.virtue,sanctity.virtue
79,sanctity.virtue,sanctity.virtue
80,sanctity.virtue,sanctity.virtue
81,loyalty.virtue,sanctity.vice
82,authority.virtue,sanctity.virtue
83,sanctity.virtue,care.virtue
84,authority.virtue,sanctity.virtue
85,care.virtue,care.virtue
86,authority.virtue,authority.virtue
87,care.vice,sanctity.virtue
88,fairness.vice,sanctity.virtue
89,sanctity.virtue,sanctity.virtue
90,care.virtue,sanctity.virtue
91,sanctity.virtue,sanctity.virtue
92,loyalty.virtue,authority.virtue
93,fairness.virtue,sanctity.virtue
94,loyalty.virtue,sanctity.virtue
95,sanctity.virtue,care.virtue
96,sanctity.virtue,sanctity.virtue
97,care.virtue,sanctity.virtue
98,care.virtue,sanctity.virtue
99,sanctity.virtue,sanctity.virtue
100,care.virtue,sanctity.vice
101,sanctity.virtue,sanctity.virtue
102,loyalty.virtue,sanctity.virtue
103,care.vice,care.virtue
104,sanctity.virtue,sanctity.virtue
105,sanctity.virtue,sanctity.virtue
106,authority.virtue,sanctity.virtue
107,care.vice,sanctity.virtue
108,sanctity.virtue,sanctity.virtue
109,,sanctity.virtue
110,sanctity.virtue,sanctity.virtue
111,authority.virtue,sanctity.vice
112,care.vice,loyalty.virtue
113,,sanctity.virtue
114,sanctity.virtue,care.virtue
115,care.virtue,sanctity.virtue
116,authority.virtue,sanctity.virtue
117,sanctity.vice,sanctity.virtue
118,care.virtue,authority.virtue
119,loyalty.virtue,loyalty.virtue
120,authority.virtue,sanctity.virtue
121,sanctity.virtue,sanctity.virtue
122,sanctity.virtue,care.virtue
123,loyalty.virtue,sanctity.virtue
124,loyalty.virtue,sanctity.virtue
125,loyalty.virtue,care.virtue
126,authority.virtue,sanctity.virtue
127,care.vice,sanctity.virtue
128,care.vice,sanctity.virtue
129,care.virtue,authority.virtue
130,loyalty.virtue,sanctity.vice
131,loyalty.virtue,care.virtue
132,loyalty.virtue,sanctity.virtue
133,sanctity.virtue,sanctity.virtue
134,care.virtue,authority.virtue
135,loyalty.virtue,sanctity.virtue
136,loyalty.virtue,sanctity.virtue
137,care.virtue,sanctity.virtue
138,authority.virtue,sanctity.virtue
139,loyalty.virtue,sanctity.virtue
140,sanctity.virtue,sanctity.virtue
141,care.virtue,sanctity.virtue
142,authority.virtue,sanctity.virtue
143,sanctity.virtue,sanctity.virtue
144,sanctity.virtue,sanctity.virtue
145,care.virtue,sanctity.virtue
146,loyalty.virtue,authority.virtue
147,sanctity.virtue,authority.virtue
148,sanctity.virtue,sanctity.virtue
149,sanctity.virtue,sanctity.virtue
150,loyalty.virtue,sanctity.virtue
151,authority.virtue,care.virtue
152,sanctity.virtue,sanctity.virtue
153,authority.virtue,authority.virtue
154,care.virtue,sanctity.virtue
155,sanctity.virtue,sanctity.virtue
156,sanctity.virtue,sanctity.virtue
157,care.vice,care.virtue
158,loyalty.virtue,sanctity.virtue
159,care.virtue,sanctity.virtue
160,care.virtue,authority.virtue
161,care.virtue,authority.virtue
162,loyalty.virtue,sanctity.virtue
163,loyalty.virtue,sanctity.vice
164,authority.virtue,loyalty.virtue
165,sanctity.virtue,sanctity.virtue
166,authority.virtue,sanctity.virtue
167,fairness.vice,authority.virtue
