id,dominant_lexicon,dominant_embedding
1,authority.virtue,care.virtue
2,authority.virtue,sanctity.virtue
3,authority.virtue,authority.virtue
4,authority.virtue,care.virtue
5,care.virtue,sanctity.virtue
6,care.virtue,sanctity.virtue
7,care.virtue,care.virtue
8,care.virtue,care.virtue
9,care.virtue,sanctity.virtue
10,sanctity.virtue,fairness.virtue
11,,sanctity.virtue
12,care.virtue,care.virtue
13,care.virtue,care.virtue
14,,care.virtue
15,fairness.vice,loyalty.virtue
16,fairness.virtue,care.virtue
17,care.virtue,authority.virtue
18,care.virtue,care.virtue
19,care.virtue,care.virtue
20,care.virtue,care.virtue
21,care.virtue,care.virtue
22,care.virtue,care.virtue
23,care.virtue,care.virtue
24,care.virtue,care.virtue
25,care.virtue,care.virtue
26,care.vice,care.virtue
27,care.vice,care.virtue
28,care.vice,care.virtue
29,care.vice,care.virtue
30,fairness.vice,authority.virtue
31,care.virtue,loyalty.virtue
32,loyalty.virtue,care.virtue
33,care.virtue,sanctity.virtue
34,care.virtue,care.virtue
35,fairness.virtue,loyalty.virtue
36,care.virtue,care.virtue
37,care.virtue,care.virtue
38,care.virtue,care.virtue
39,,care.virtue
40,care.virtue,sanctity.virtue
41,care.virtue,care.virtue
42,care.virtue,care.virtue
43,authority.virtue,care.virtue
44,authority.virtue,care.virtue
45,care.virtue,care.virtue
46,care.virtue,care.virtue
47,sanctity.virtue,care.virtue
48,care.virtue,sanctity.virtue
49,care.virtue,loyalty.virtue
50,loyalty.virtue,sanctity.virtue
51,care.virtue,care.virtue
52,,sanctity.virtue
53,care.virtue,sanctity.virtue
54,care.virtue,sanctity.virtue
55,care.virtue,care.virtue
56,care.virtue,sanctity.vice
57,sanctity.virtue,sanctity.virtue
58,care.virtue,sanctity.virtue
59,sanctity.virtue,care.virtue
60,sanctity.virtue,sanctity.virtue
61,care.virtue,sanctity.virtue
62,care.virtue,care.virtue
63,loyalty.virtue,care.virtue
64,care.virtue,loyalty.virtue
65,care.vice,care.virtue
66,care.virtue,care.virtue
67,care.virtue,sanctity.virtue
68,care.vice,care.virtue
69,care.virtue,care.virtue
70,care.vice,care.virtue
71,care.vice,care.virtue
72,authority.virtue,authority.virtue
73,care.virtue,authority.virtue
74,care.virtue,loyalty.virtue
75,care.virtue,care.virtue
76,care.virtue,loyalty.vice
77,care.virtue,sanctity.virtue
78,care.virtue,sanctity.virtue
79,care.virtue,care.virtue
80,care.virtue,sanctity.virtue
81,care.virtue,care.virtue
82,loyalty.vice,sanctity.vice
83,sanctity.vice,care.virtue
84,loyalty.virtue,sanctity.virtue
85,fairness.vice,care.virtue
86,care.virtue,sanctity.virtue
87,care.virtue,sanctity.virtue
88,care.virtue,sanctity.virtue
89,care.virtue,sanctity.virtue
90,care.virtue,sanctity.virtue
91,care.virtue,care.virtue
92,care.virtue,care.virtue
93,sanctity.vice,fairness.virtue
94,care.virtue,care.virtue
95,care.virtue,care.virtue
96,authority.virtue,authority.virtue
97,care.virtue,authority.vice
98,care.virtue,sanctity.virtue
99,care.virtue,authority.vice
100,authority.virtue,authority.virtue
101,authority.virtue,authority.vice
102,care.virtue,care.virtue
103,care.virtue,loyalty.vice
104,sanctity.virtue,sanctity.virtue
105,care.virtue,care.virtue
106,loyalty.virtue,sanctity.virtue
107,care.virtue,sanctity.virtue
108,care.virtue,loyalty.virtue
109,authority.virtue,authority.virtue
110,care.virtue,loyalty.virtue
111,authority.virtue,sanctity.virtue
112,,loyalty.vice
113,care.virtue,sanctity.virtue
114,care.vice,care.virtue
115,authority.virtue,care.virtue
116,authority.virtue,care.virtue
117,care.virtue,care.virtue
118,loyalty.virtue,sanctity.virtue
119,care.virtue,care.virtue
120,care.virtue,care.virtue
121,sanctity.virtue,sanctity.virtue
122,sanctity.virtue,sanctity.vice
123,care.virtue,sanctity.virtue
124,,authority.vice
125,care.virtue,care.virtue
126,care.virtue,care.virtue
127,care.virtue,sanctity.virtue
128,care.virtue,sanctity.virtue
129,sanctity.virtue,sanctity.vice
130,sanctity.virtue,care.virtue
131,authority.virtue,care.virtue
