paragraph_num,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral_lexicon,dominant_score_lexicon
1,"೧. ಮುತುಗದ ಎಲೆ ಗೋತಾಯಿ
ಒಂದ್‌ ಪಟ್ಟಣ. ಒಬ್ಬ ದೊಡ್ಡ ದೊರೆ. ದೊಡ್ಡ ದೊರೆಗೆ ಏಳ್‌ ಮಕ್ಕಳು.
ಏಳ್‌ ಮಕ್ಕಳಿಗೂ ಚೆನ್ನಾಗಿ ಓದ್ದಿ, ಓದ್‌ ಬಂದೋರ್‌ಗೆ ಹಾಲು ತುಪ್ಪ ಅನ್ನ ಹಾಕಿ
ಮಂಚದ ಕೂಡ್ರಿಸಿ ಚೆನ್ನಾಗಿ ಸಾಕೋರು. ಏಳು ಮಕ್ಕಳೂವೆ ಹೆಣ್‌ ಮಕ್ಕಳೇ
...",0.0,0.0044444444444444444,0.0,0.0,0.0,0.0,0.008888888888888889,0.0,0.0044444444444444444,0.0,authority.virtue,2
2,"ಜನಪದ ಕಥೆಗಳು
ಮದುವೆ ಅಂತ. ನಿನಗ್‌ ಹಣ ಬೇಕೊ ಅಷ್ಟು ತಗೊಂಡೋಗಿ
ತರಹದವರನ್ನೇ ಹುಡ್ಕೊಂಡು ಬರಬೇಕು ಮಂತ್ರಿಗೆ ಹೇಳಿದ. ಮಂತ್ರಿ ಹೊರಟ.
"""" ದೊರೆತನಕ್ಕೇನು ಕಮ್ಮಿ, ಬಡತನವ 9''. ಹಣ ಇಟ್ಕೊಂಡು ಆರ್‌ ಗಂಡು ಮಕ್ಕಳು
ಯಾರ್‌ ಮನೇಲಿ ಅವರೆ ಹುಡ್ಕೊಂಡ್‌...",0.003952569169960474,0.0,0.0,0.0,0.003952569169960474,0.0,0.007905138339920948,0.0,0.003952569169960474,0.0,authority.virtue,2
3,"ಮುತುಗದ ಎಲೆ ಗೋತಾಯಿ 3
ತಾಳೆ ಮ್ರಾತೆ ಕುಯ್ಯೊಂಡ್‌ ಬರಬೇಕು. ಅಂತವರ್ಲೂ ಮುಟ್ಟೋಹಂಗಿಲ್ಲ ಅದನ್ನ.
ತೋಟ ಕಾಯೋ ಆಳ್‌ಗಳ ಹೆಂಡ್ತಿರು ಒಬ್ಬರಿಗೊಬ್ಬರು ಹಂಗಂತ ಮಾತಾಡಕೊಂತ
“ಅಯ್ಯೋ ಅಕ್ಕ ಬನ್ನಿರಕ್ಕ ನಮ್‌ ಯಜಮಾನ್ರಿಗೆ ಅಡಿಗೆ ಮಾಡ್ಬೇಕು ಹೊತ್ತಾಯ್ತು...",0.00819672131147541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004098360655737705,0.00819672131147541,care.virtue,2
4,"4 ಜನಪದ ಕಥೆಗಳು
ತಗೊಂಡೋಗ್ತಾ ಇದೀಯ, ಇದ್ಯಾವ ಬಗೇಲಿ ನೀನ್‌ ಮಾರ್ತೀಯ ಕೇಳಿದ ರಾಜ.
ಸ್ವಾಮಿ ನನಗ್‌ ಗೊತ್ತಿಲ್ಲ ಅಂದ ಮಂತ್ರಿ. ನೋಡಯ್ಯ ತಾಳೆಗರಿಯಲ್ಲಿ ಅಕ್ಷರ ಇದೆ.
ತಾಳೆಗರಿನ ದಿನಕ್ಕೊಂದರಂತೆ ನೆಲ, ಮನೆ ಸಾರಿಸಿ ಮಡಿ ಉಟ್ಕೊಂಡು ಏಳ್‌ ರಾತ್ರಿ
ಓ...",0.004329004329004329,0.0,0.0,0.0,0.0,0.0,0.004329004329004329,0.0,0.0,0.0,care.virtue,1
5,"ಮುತುಗದ ಎಲೆ ಗೋತಾಯಿ
ಪರಮಾತ್ಮ ಕೊಟ್ಟವ್ನೆ ಅಂತ, ಅಡವಿಗೆ ಹೋಗ್ಬಿಟ್ಟಳು. ಹೋಗಿ ನೀರ್‌
ತೊಗೊಂಡು, ಕೈಕಾಲು ತೊಳೆದು, ಬಾಗಿಲು ಸಾರಿಸಿ, ಚಂಬಲ್ಲಿ ನೀರ್‌ ಹಿಡ್ಕೊಂಡ್‌
ನಿಂತಿದ್ಭು. ರಾಜನ ಮಗ ಇದ್ದನಲ್ಲ ಕುದುರೆ ಹತ್ಕೊಂಡ್‌ ಬಂದ್‌ಬಿಟ್ಟ. ರಾಜನ
ಮಗ...",0.01646090534979424,0.00411522633744856,0.0,0.0,0.0,0.0,0.01646090534979424,0.0,0.00411522633744856,0.0,care.virtue,4
6,"6 ಜನಪದ ಕಥೆಗಳು
ಮುತುಗದ ಎಲೆ ಗುಡ್ಡಲಿ ಕೂಡಿಹಾಕಿ ಬಂದೆ ಅಂದ. ಅಯ್ಯಾ ಅಲ್ಲೆಯಾದರು
ಹೇಳ್‌ಬ್ಯಾಡವೇನಪ್ಪ) ಆಸೆ ಆದರೂ ಕಳಕೊಳ್ಳುವೆ ಹೇಳಿದಳು. ಮನೇಲಿ
ಯಾರುಗೂ ಹೇಳೋದ್‌ ಬ್ಯಾಡ ಅಂದ ಮಂತ್ರಿ. ಬಂದರೆ ಅಷ್ಟೊತ್ತಿಗೆ ಕಷ್ಟ ಸುಖ
ನೋಡೋರಿಲ್ಲದೆ ಮಂಚದ ಕ...",0.008658008658008658,0.004329004329004329,0.0,0.0,0.004329004329004329,0.0,0.012987012987012988,0.0,0.0,0.0,authority.virtue,3
7,"ಮುತುಗದ ಎಲೆ ಗೋತಾಯಿ 7
ಹಾಕು ಅಜ್ಜಿ ಕೈಲಿ ಕೊಟ್ಟು ಕಳಿಸಿದರು. ಆವಾಗ ಅಜ್ಜಿ ಮಂಕ್ರಿಗೆ ಹಾಕ್ಕೊಂಡು
ಕಿರಿಮಗಳು ಇರೊ ಕಡೆಗೆ ಹೊರಟಳು. ಕಾಡಾದ್ದರಿಂದ ಅಲ್ಲಿ ಜಾತ್ರೆ ಯಾರು
ಇರ್ಲಿಲ್ಲ. ಆವಾಗ ಹುಡ್ಗಿ ಅಜ್ಜಿ ಬಾರಜ್ಜಿ ಕರೆದು ನಮ್ಮನೆಗೆ ಬಾ ಊಟ
ಕೊಡ...",0.008298755186721992,0.004149377593360996,0.0,0.0,0.0,0.0,0.004149377593360996,0.0,0.004149377593360996,0.004149377593360996,care.virtue,2
8,"8 ಜನಪದ ಕಥೆಗಳು
ಮೈತಲೆಗೆಲ್ಲ ನೇಪಹಾಕ್ತು. ಅಗಿದು ಹಚ್ಚೋವಾಗ ಹೆಚ್ಚಾಗಿದ್ದ ಔಷಧ ಮರದ ಕೆಳಗೆ
ಮಲಗಿದ್ದಳಲ್ಲ ಅವಳ ಬೀಳ್ತಾ ಇರ್ರದೆ. ಅವಳು ಅದನ್ನೆಲ್ಲ ಆಯ್ಯೊಂಡು
ಸೆರಗ್‌ಗೆ ಕಟ್ಕೊಂಡು, ಬೀದಿ ಬೀದಿ ರಾಜನಾಗಿದ್ದ ಗಂಡನ ಪಟ್ಟಣಕ್ಕೇ ಬರಾಳೆ.
ರಾಜನ ಮ...",0.004016064257028112,0.004016064257028112,0.0,0.0,0.0,0.0,0.008032128514056224,0.0,0.012048192771084338,0.004016064257028112,sanctity.virtue,3
9,"ಮುತುಗದ ಎಲೆ ಗೋತಾಯಿ 9
ಮಗ ಕಂಬಕ್ಕೆ ಕುದುರೆ ಕಟ್ಟುಕಿ, ಹಾಲ್‌ಬಾವಿಗೋಗಿ ಹಾಲ್‌ಕುಡಿದು,
ನೀರ್‌ಬಾವಿಗೋಗಿ ಕೈಕಾಲು ತೊಳೆದುಕೊಂಡು ಸೀದ ಮನೆಗೆ ಬರ್ತಾನೆ. ಅವಳು ಒಂದ್‌
ಚಂಬ್ನಲ್ಲಿ ನೀರಿಡ್ಕೊಂಡು ನಿಂತಿರ್ತಾಳೆ. ಇವನು ಸೀದಾ ಒಳಗಡೆ ಹೋಗ್ತಾನೆ. ಅವ...",0.011111111111111112,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.0,0.005555555555555556,0.0,authority.virtue,3
10,"10 ಜನಪದ ಕಥೆಗಳು
ಯಾವುದಾದ್ರೂ ಧರ್ಮಾತ್ಮ ನಾವ್‌ ಮಕ್ಕಳ ಫಲ ಪಡೀಬೇಕು ಕಣ್ರೀ''
ಆಯಮ್ಮ ಕೇಳಿಕೊಂಡ್ಳು. ಇದಕ್ಕೆ ಧರ್ಮಾತ್ಮ ಪಡೀಬೇಕೊ ರಾಜ
ಕೇಳಿದ. """"ಈ ಚುಂಚನಗಿರಿ ಮಠದೊಳಗೆ ಆಳುದ್ದ ದೊಡ್ಡದಾಗಿರೋ ಕೆರೆ
ಕಟ್ಟಿಸಿಬಿಡಾನ. ಕೆರೆ ಕಟ್ಟಿಸ್ಟಿಟ್ಟು ಸ...",0.004524886877828055,0.0,0.0,0.0,0.0,0.0,0.004524886877828055,0.0,0.013574660633484163,0.0,sanctity.virtue,3
