paragraph_num,dominant_lexicon,dominant_embedding
1,authority.virtue,sanctity.virtue
2,authority.virtue,authority.virtue
3,care.virtue,sanctity.virtue
4,care.virtue,sanctity.virtue
5,care.virtue,sanctity.virtue
6,authority.virtue,sanctity.virtue
7,care.virtue,sanctity.virtue
8,sanctity.virtue,sanctity.virtue
9,authority.virtue,sanctity.virtue
10,sanctity.virtue,sanctity.virtue
11,authority.virtue,sanctity.virtue
12,care.virtue,sanctity.virtue
13,care.virtue,sanctity.virtue
14,care.virtue,sanctity.virtue
15,care.virtue,sanctity.virtue
16,care.virtue,sanctity.virtue
17,care.virtue,sanctity.virtue
18,sanctity.virtue,sanctity.virtue
19,care.virtue,sanctity.virtue
20,sanctity.virtue,authority.virtue
21,care.virtue,sanctity.virtue
22,care.virtue,sanctity.virtue
23,care.virtue,care.virtue
24,sanctity.virtue,care.virtue
25,sanctity.virtue,sanctity.virtue
26,sanctity.virtue,sanctity.virtue
27,care.virtue,sanctity.vice
28,sanctity.vice,sanctity.virtue
29,care.virtue,sanctity.virtue
30,sanctity.virtue,sanctity.virtue
31,sanctity.virtue,sanctity.virtue
32,care.virtue,sanctity.virtue
33,care.virtue,sanctity.virtue
34,care.virtue,sanctity.virtue
35,care.virtue,sanctity.virtue
36,care.virtue,sanctity.virtue
37,sanctity.virtue,sanctity.virtue
38,care.virtue,authority.virtue
39,authority.virtue,sanctity.virtue
40,authority.virtue,sanctity.virtue
41,authority.virtue,sanctity.virtue
42,,sanctity.virtue
43,authority.virtue,authority.virtue
44,authority.virtue,authority.virtue
45,authority.virtue,sanctity.virtue
46,authority.virtue,sanctity.virtue
47,sanctity.virtue,authority.virtue
48,care.virtue,sanctity.virtue
49,care.virtue,authority.virtue
50,authority.virtue,sanctity.virtue
51,care.virtue,sanctity.virtue
52,authority.virtue,sanctity.virtue
53,sanctity.virtue,sanctity.virtue
54,sanctity.vice,sanctity.virtue
55,authority.virtue,sanctity.virtue
56,sanctity.virtue,sanctity.virtue
57,care.virtue,authority.virtue
58,care.virtue,sanctity.virtue
59,care.virtue,sanctity.virtue
60,care.virtue,sanctity.virtue
61,care.virtue,sanctity.virtue
62,care.virtue,sanctity.virtue
63,sanctity.virtue,sanctity.virtue
64,sanctity.virtue,sanctity.virtue
65,sanctity.virtue,care.virtue
66,care.virtue,sanctity.virtue
67,care.virtue,care.virtue
68,care.virtue,sanctity.virtue
69,care.virtue,sanctity.virtue
70,care.virtue,sanctity.virtue
71,care.virtue,care.virtue
72,care.virtue,sanctity.virtue
73,care.virtue,care.virtue
74,sanctity.virtue,sanctity.virtue
75,sanctity.virtue,care.virtue
76,sanctity.virtue,care.virtue
77,care.virtue,sanctity.virtue
78,sanctity.virtue,sanctity.virtue
79,care.virtue,sanctity.virtue
80,care.virtue,care.virtue
81,care.virtue,authority.virtue
82,care.virtue,sanctity.virtue
83,sanctity.virtue,care.virtue
84,care.virtue,sanctity.vice
85,care.virtue,care.virtue
86,care.virtue,care.virtue
87,care.virtue,sanctity.virtue
88,sanctity.vice,sanctity.virtue
89,sanctity.vice,sanctity.virtue
90,,sanctity.virtue
91,sanctity.virtue,sanctity.virtue
92,,sanctity.virtue
93,care.virtue,authority.virtue
94,care.vice,sanctity.virtue
95,care.vice,sanctity.virtue
96,care.virtue,sanctity.virtue
97,,sanctity.virtue
98,care.virtue,sanctity.virtue
99,care.virtue,sanctity.virtue
100,care.virtue,sanctity.virtue
101,sanctity.virtue,sanctity.virtue
102,authority.virtue,sanctity.virtue
103,care.virtue,sanctity.virtue
104,care.virtue,sanctity.virtue
105,care.virtue,sanctity.virtue
106,care.virtue,sanctity.virtue
107,care.virtue,sanctity.virtue
108,care.virtue,sanctity.virtue
109,care.virtue,sanctity.virtue
110,care.virtue,sanctity.virtue
111,care.virtue,sanctity.virtue
112,care.virtue,sanctity.virtue
113,care.virtue,sanctity.virtue
114,care.virtue,sanctity.virtue
115,care.virtue,sanctity.virtue
116,fairness.virtue,sanctity.virtue
117,fairness.virtue,authority.virtue
118,fairness.virtue,sanctity.virtue
119,loyalty.virtue,sanctity.virtue
120,sanctity.vice,sanctity.virtue
121,care.virtue,sanctity.virtue
122,care.virtue,sanctity.virtue
123,care.virtue,sanctity.virtue
124,care.virtue,sanctity.virtue
125,care.vice,sanctity.virtue
126,care.virtue,sanctity.virtue
127,care.virtue,sanctity.virtue
128,,sanctity.virtue
129,care.virtue,sanctity.virtue
130,care.virtue,sanctity.virtue
131,authority.virtue,sanctity.virtue
132,sanctity.vice,authority.virtue
133,sanctity.virtue,care.virtue
134,sanctity.virtue,sanctity.virtue
135,care.virtue,sanctity.virtue
136,care.virtue,authority.virtue
137,care.virtue,sanctity.virtue
138,care.virtue,sanctity.virtue
139,authority.virtue,sanctity.virtue
140,sanctity.virtue,sanctity.virtue
141,care.virtue,sanctity.virtue
142,care.virtue,sanctity.virtue
143,sanctity.virtue,authority.virtue
144,care.virtue,sanctity.virtue
145,loyalty.virtue,sanctity.virtue
146,care.virtue,authority.virtue
147,care.virtue,sanctity.virtue
148,care.virtue,sanctity.virtue
149,care.virtue,sanctity.virtue
150,authority.virtue,sanctity.virtue
151,care.virtue,sanctity.virtue
152,sanctity.vice,authority.virtue
153,care.virtue,sanctity.virtue
154,authority.virtue,sanctity.virtue
155,care.virtue,sanctity.virtue
156,care.virtue,sanctity.virtue
157,care.virtue,sanctity.virtue
158,authority.virtue,sanctity.virtue
159,sanctity.virtue,sanctity.virtue
160,care.virtue,sanctity.virtue
161,sanctity.virtue,sanctity.virtue
162,sanctity.virtue,sanctity.virtue
163,fairness.vice,sanctity.virtue
164,care.virtue,loyalty.virtue
165,care.virtue,sanctity.virtue
166,,sanctity.virtue
167,care.virtue,sanctity.virtue
168,authority.virtue,sanctity.virtue
169,authority.virtue,sanctity.virtue
170,sanctity.virtue,sanctity.virtue
171,care.virtue,sanctity.virtue
172,,sanctity.virtue
173,sanctity.virtue,sanctity.virtue
174,sanctity.vice,sanctity.virtue
175,care.virtue,sanctity.virtue
176,loyalty.virtue,sanctity.virtue
177,care.virtue,sanctity.virtue
178,sanctity.vice,sanctity.virtue
179,sanctity.virtue,sanctity.virtue
180,care.virtue,sanctity.virtue
181,sanctity.virtue,sanctity.virtue
182,loyalty.virtue,sanctity.virtue
183,loyalty.virtue,sanctity.virtue
184,fairness.vice,sanctity.virtue
185,loyalty.virtue,sanctity.virtue
186,authority.virtue,care.virtue
187,care.virtue,sanctity.virtue
188,sanctity.virtue,sanctity.virtue
189,sanctity.vice,sanctity.virtue
190,sanctity.virtue,sanctity.virtue
191,sanctity.virtue,sanctity.virtue
192,sanctity.virtue,sanctity.virtue
193,sanctity.virtue,sanctity.virtue
194,fairness.vice,sanctity.virtue
195,fairness.vice,sanctity.virtue
196,sanctity.vice,sanctity.virtue
197,fairness.vice,sanctity.virtue
198,care.virtue,sanctity.virtue
199,care.virtue,authority.virtue
200,care.virtue,sanctity.virtue
201,,sanctity.virtue
202,,sanctity.virtue
203,care.virtue,sanctity.virtue
204,care.virtue,sanctity.virtue
205,care.virtue,sanctity.virtue
206,sanctity.virtue,sanctity.virtue
207,sanctity.virtue,sanctity.virtue
208,care.virtue,sanctity.virtue
209,care.virtue,sanctity.virtue
210,fairness.virtue,sanctity.virtue
211,fairness.virtue,authority.virtue
212,,sanctity.virtue
213,care.virtue,sanctity.virtue
214,authority.virtue,sanctity.virtue
215,sanctity.virtue,sanctity.virtue
216,sanctity.vice,sanctity.virtue
217,,sanctity.virtue
218,fairness.vice,sanctity.virtue
219,care.virtue,sanctity.virtue
220,care.virtue,sanctity.virtue
