paragraph_num,dominant_lexicon,dominant_embedding
1,care.virtue,sanctity.virtue
2,care.vice,sanctity.virtue
3,care.virtue,sanctity.virtue
4,care.virtue,sanctity.virtue
5,care.virtue,sanctity.virtue
6,care.virtue,sanctity.virtue
7,care.virtue,care.virtue
8,sanctity.virtue,sanctity.virtue
9,authority.virtue,sanctity.virtue
10,care.virtue,sanctity.virtue
11,care.virtue,sanctity.virtue
12,care.virtue,care.virtue
13,authority.virtue,sanctity.virtue
14,sanctity.virtue,sanctity.virtue
15,authority.virtue,sanctity.virtue
16,sanctity.virtue,sanctity.virtue
17,care.vice,care.virtue
18,loyalty.virtue,sanctity.virtue
19,,care.virtue
20,,care.virtue
21,care.virtue,sanctity.virtue
22,loyalty.virtue,care.vice
23,care.virtue,care.virtue
24,loyalty.virtue,authority.virtue
25,sanctity.vice,authority.virtue
26,authority.virtue,authority.virtue
27,,sanctity.virtue
28,care.virtue,care.virtue
29,loyalty.virtue,sanctity.virtue
30,,authority.virtue
31,loyalty.virtue,sanctity.virtue
32,care.vice,sanctity.virtue
33,care.virtue,care.virtue
34,authority.vice,sanctity.virtue
35,sanctity.virtue,sanctity.virtue
36,care.virtue,care.virtue
37,,authority.virtue
38,sanctity.vice,care.vice
39,care.virtue,authority.virtue
40,authority.virtue,care.virtue
41,authority.virtue,authority.virtue
42,care.virtue,authority.virtue
43,authority.virtue,authority.virtue
44,loyalty.virtue,authority.virtue
45,care.vice,authority.virtue
46,authority.virtue,sanctity.virtue
47,care.virtue,authority.virtue
48,loyalty.virtue,authority.virtue
49,care.virtue,sanctity.virtue
50,care.vice,sanctity.virtue
51,loyalty.virtue,sanctity.virtue
52,loyalty.virtue,sanctity.virtue
53,sanctity.virtue,sanctity.virtue
54,loyalty.virtue,authority.virtue
55,loyalty.virtue,sanctity.virtue
56,loyalty.virtue,sanctity.virtue
57,care.vice,sanctity.virtue
58,care.virtue,care.virtue
59,authority.virtue,sanctity.virtue
60,,sanctity.virtue
61,loyalty.virtue,authority.virtue
62,loyalty.virtue,sanctity.virtue
63,,sanctity.virtue
64,authority.virtue,authority.virtue
65,fairness.virtue,authority.virtue
66,care.virtue,authority.virtue
67,care.vice,authority.virtue
68,loyalty.virtue,authority.virtue
69,care.virtue,authority.virtue
70,,sanctity.virtue
71,,authority.virtue
72,,sanctity.virtue
73,sanctity.vice,sanctity.virtue
74,sanctity.virtue,sanctity.virtue
75,care.vice,authority.virtue
76,authority.virtue,sanctity.virtue
77,sanctity.virtue,sanctity.virtue
78,sanctity.virtue,sanctity.virtue
79,care.virtue,sanctity.virtue
80,,authority.virtue
81,,authority.virtue
82,fairness.vice,sanctity.virtue
83,sanctity.vice,sanctity.virtue
84,authority.virtue,sanctity.virtue
85,sanctity.virtue,authority.virtue
86,,authority.virtue
87,authority.virtue,authority.virtue
88,authority.virtue,sanctity.virtue
89,care.virtue,authority.virtue
90,sanctity.vice,authority.virtue
91,care.virtue,care.virtue
92,care.virtue,care.virtue
93,care.vice,sanctity.virtue
94,,sanctity.virtue
95,,authority.virtue
96,,authority.virtue
97,loyalty.virtue,sanctity.virtue
98,authority.virtue,sanctity.virtue
99,authority.virtue,authority.virtue
100,,sanctity.virtue
101,sanctity.virtue,sanctity.virtue
102,care.virtue,authority.virtue
103,care.virtue,authority.virtue
104,fairness.vice,authority.virtue
105,authority.virtue,sanctity.virtue
106,loyalty.virtue,sanctity.virtue
107,,sanctity.virtue
108,authority.virtue,sanctity.virtue
109,authority.virtue,sanctity.virtue
110,care.virtue,sanctity.virtue
111,care.virtue,sanctity.virtue
112,care.vice,authority.virtue
113,fairness.vice,authority.virtue
114,care.vice,authority.virtue
115,authority.virtue,authority.virtue
116,care.virtue,sanctity.virtue
117,care.virtue,sanctity.virtue
118,care.virtue,sanctity.virtue
119,care.virtue,sanctity.virtue
120,care.vice,care.virtue
121,fairness.vice,care.virtue
122,,sanctity.virtue
123,authority.virtue,authority.virtue
124,fairness.vice,sanctity.virtue
125,fairness.vice,authority.virtue
126,fairness.vice,sanctity.virtue
127,sanctity.virtue,sanctity.virtue
128,care.vice,sanctity.virtue
129,care.virtue,sanctity.virtue
130,care.virtue,authority.virtue
131,authority.virtue,authority.virtue
132,care.virtue,care.virtue
133,fairness.virtue,care.virtue
134,care.virtue,care.virtue
135,authority.virtue,sanctity.virtue
136,sanctity.virtue,sanctity.virtue
137,authority.virtue,authority.virtue
138,care.virtue,sanctity.virtue
139,sanctity.virtue,sanctity.virtue
140,fairness.vice,authority.virtue
141,fairness.virtue,care.virtue
142,sanctity.virtue,sanctity.virtue
143,care.virtue,sanctity.virtue
144,care.virtue,sanctity.virtue
145,authority.virtue,sanctity.virtue
146,sanctity.virtue,sanctity.virtue
147,care.virtue,sanctity.virtue
148,,authority.virtue
149,care.vice,authority.virtue
150,fairness.virtue,authority.virtue
151,authority.virtue,sanctity.virtue
152,,authority.virtue
153,loyalty.virtue,care.virtue
154,loyalty.virtue,sanctity.virtue
155,care.virtue,sanctity.virtue
156,care.virtue,sanctity.virtue
157,care.virtue,sanctity.virtue
158,care.virtue,authority.virtue
159,loyalty.virtue,sanctity.virtue
160,authority.virtue,sanctity.virtue
161,,sanctity.virtue
162,fairness.virtue,sanctity.virtue
163,sanctity.virtue,sanctity.virtue
164,authority.virtue,sanctity.virtue
165,care.virtue,sanctity.virtue
166,care.virtue,care.virtue
167,care.vice,authority.virtue
168,loyalty.vice,sanctity.virtue
169,care.virtue,sanctity.virtue
170,authority.virtue,sanctity.virtue
171,fairness.vice,sanctity.virtue
172,care.vice,sanctity.virtue
173,fairness.vice,authority.virtue
174,care.virtue,care.virtue
175,care.virtue,sanctity.virtue
176,sanctity.virtue,sanctity.virtue
177,authority.virtue,sanctity.virtue
178,care.virtue,loyalty.virtue
179,authority.virtue,sanctity.virtue
180,,sanctity.virtue
181,loyalty.virtue,sanctity.virtue
182,care.virtue,sanctity.virtue
183,loyalty.virtue,loyalty.virtue
184,fairness.vice,authority.virtue
185,sanctity.vice,authority.virtue
186,fairness.vice,authority.virtue
187,care.virtue,authority.virtue
188,fairness.vice,sanctity.virtue
189,loyalty.virtue,sanctity.virtue
190,loyalty.virtue,authority.virtue
191,loyalty.virtue,sanctity.virtue
192,loyalty.virtue,authority.virtue
193,loyalty.virtue,authority.virtue
194,authority.virtue,authority.virtue
195,care.virtue,authority.virtue
196,authority.virtue,authority.virtue
197,authority.virtue,sanctity.virtue
198,,sanctity.virtue
199,authority.vice,sanctity.virtue
200,authority.virtue,sanctity.virtue
201,loyalty.virtue,sanctity.virtue
202,authority.virtue,sanctity.virtue
203,authority.virtue,authority.virtue
204,sanctity.virtue,sanctity.virtue
205,authority.virtue,authority.virtue
206,authority.virtue,sanctity.virtue
207,sanctity.virtue,sanctity.virtue
208,care.virtue,sanctity.virtue
209,authority.virtue,sanctity.virtue
210,loyalty.virtue,authority.virtue
211,fairness.vice,sanctity.virtue
212,care.vice,sanctity.virtue
213,sanctity.virtue,sanctity.virtue
214,fairness.vice,loyalty.virtue
215,loyalty.virtue,sanctity.virtue
216,,sanctity.virtue
