fable_number,title,text,moral,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
1,THE FOX AND THE GRAPES,"A hungry Fox saw some fine bunches of Grapes hanging from a vine that was trained along a high trellis, and did his best to reach them by jumping as high as he could into the air. But it was all in vain, for they were just out of reach: so he gave up trying, and walked away with an air of dignity and unconcern, remarking, ""I thought those Grapes were ripe, but I see now they are quite sour.""",,0.22650012,0.2532062,0.2311595,0.29803488,0.27040535,0.26345363,0.24561603,0.26674008,0.26966506,0.34530243,sanctity.vice,0.34530243
2,THE GOOSE THAT LAID THE GOLDEN EGGS,"A Man and his Wife had the good fortune to possess a Goose which laid a Golden Egg every day. Lucky though they were, they soon began to think they were not getting rich fast enough, and, imagining the bird must be made of gold inside, they decided to kill it in order to secure the whole store of precious metal at once. But when they cut it open they found it was just like any other goose. Thus, they neither got rich all at once, as they had hoped, nor enjoyed any longer the daily addition to their wealth",Much wants more and loses all.,0.2515609,0.20068084,0.22745888,0.26165146,0.26628795,0.222719,0.24558738,0.18837012,0.26133177,0.30130535,sanctity.vice,0.30130535
3,THE CAT AND THE MICE,"There was once a house that was overrun with Mice. A Cat heard of this, and said to herself, ""That's the place for me,"" and off she went and took up her quarters in the house, and caught the Mice one by one and ate them. At last the Mice could stand it no longer, and they determined to take to their holes and stay there. ""That's awkward,"" said the Cat to herself: ""the only thing to do is to coax them out by a trick."" So she considered a while, and then climbed up the wall and let herself hang down by her hind legs from a peg, and pretended to be dead. By and by a Mouse peeped out and saw the Cat hanging there. ""Aha!"" it cried, ""you're very clever, madam, no doubt: but you may turn yourself into a bag of meal hanging there, if you like, yet you won't catch us coming anywhere near you."" If you are wise you won't be deceived by the innocent airs of those whom you have once found to be dangerous.",,0.32085592,0.3873979,0.28421175,0.34005442,0.34198284,0.34015623,0.3474801,0.29954067,0.3631544,0.39115235,sanctity.vice,0.39115235
4,THE MISCHIEVOUS DOG,"There was once a Dog who used to snap at people and bite them without any provocation, and who was a great nuisance to every one who came to his master's house. So his master fastened a bell round his neck to warn people of his presence. The Dog was very proud of the bell, and strutted about tinkling it with immense satisfaction. But an old dog came up to him and said, ""The fewer airs you give yourself the better, my friend. You don't think, do you, that your bell was given you as a reward of merit? On the contrary, it is a badge of disgrace."" Notoriety is often mistaken for fame.",,0.3772952,0.4309812,0.35848507,0.40313306,0.39008218,0.38639998,0.45508575,0.3913373,0.41586927,0.4362391,authority.virtue,0.45508575
5,THE CHARCOAL-BURNER AND THE FULLER,"There was once a Charcoal-burner who lived and worked by himself. A Fuller, however, happened to come and settle in the same neighbourhood; and the Charcoal-burner, having made his acquaintance and finding he was an agreeable sort of fellow, asked him if he would come and share his house: ""We shall get to know one another better that way,"" he said, ""and, beside, our household expenses will be diminished."" The Fuller thanked him, but replied, ""I couldn't think of it, sir: why, everything I take such pains to whiten would be blackened in no time by your charcoal.""",,0.41812557,0.33664685,0.40072748,0.35421613,0.4365912,0.33159053,0.41064435,0.32178375,0.4083569,0.3780039,loyalty.virtue,0.4365912
6,THE MICE IN COUNCIL,"Once upon a time all the Mice met together in Council, and discussed the best means of securing themselves against the attacks of the cat. After several suggestions had been debated, a Mouse of some standing and experience got up and said, ""I think I have hit upon a plan which will ensure our safety in the future, provided you approve and carry it out. It is that we should fasten a bell round the neck of our enemy the cat, which will by its tinkling warn us of her approach."" This proposal was warmly applauded, and it had been already decided to adopt it, when an old Mouse got upon his feet and said, ""I agree with you all that the plan before us is an admirable one: but may I ask who is going to bell the cat?""",,0.38380685,0.31460536,0.3494866,0.3103999,0.44392926,0.32645735,0.40252104,0.28953165,0.38939112,0.35004324,loyalty.virtue,0.44392926
7,THE BAT AND THE WEASELS,"A Bat fell to the ground and was caught by a Weasel, and was just going to be killed and eaten when it begged to be let go. The Weasel said he couldn't do that because he was an enemy of all birds on principle. ""Oh, but,"" said the Bat, ""I'm not a bird at all: I'm a mouse."" ""So you are,"" said the Weasel, ""now I come to look at you""; and he let it go. Some time after this the Bat was caught in just the same way by another Weasel, and, as before, begged for its life. ""No,"" said the Weasel, ""I never let a mouse go by any chance."" ""But I'm not a mouse,"" said the Bat; ""I'm a bird."" ""Why, so you are,"" said the Weasel; and he too let the Bat go. Look and see which way the wind blows before you commit yourself.",,0.28791222,0.25769237,0.26497582,0.25109208,0.2681828,0.3002817,0.27648425,0.27551684,0.3005954,0.29235718,sanctity.virtue,0.3005954
8,THE DOG AND THE SOW,"A Dog and a Sow were arguing and each claimed that its own young ones were finer than those of any other animal. ""Well,"" said the Sow at last, ""mine can see, at any rate, when they come into the world: but yours are born blind.""",,0.31919226,0.3593823,0.3848301,0.4030964,0.39876178,0.38116977,0.38931394,0.37562886,0.41301823,0.43534893,sanctity.vice,0.43534893
9,THE FOX AND THE CROW,"A Crow was sitting on a branch of a tree with a piece of cheese in her beak when a Fox observed her and set his wits to work to discover some way of getting the cheese. Coming and standing under the tree he looked up and said, ""What a noble bird I see above me! Her beauty is without equal, the hue of her plumage exquisite. If only her voice is as sweet as her looks are fair, she ought without doubt to be Queen of the Birds."" The Crow was hugely flattered by this, and just to show the Fox that she could sing she gave a loud caw. Down came the cheese, of course, and the Fox, snatching it up, said, ""You have a voice, madam, I see: what you want is wits.""",,0.29006806,0.24914603,0.26962128,0.28586507,0.29761443,0.25390306,0.34159207,0.24516104,0.3479353,0.33631006,sanctity.virtue,0.3479353
10,THE HORSE AND THE GROOM,"There was once a Groom who used to spend long hours clipping and combing the Horse of which he had charge, but who daily stole a portion of his allowance of oats, and sold it for his own profit. The Horse gradually got into worse and worse condition, and at last cried to the Groom, ""If you really want me to look sleek and well, you must comb me less and feed me more.""",,0.26966956,0.23075813,0.17563646,0.20835216,0.18384685,0.21100333,0.23811424,0.182578,0.20455103,0.24591643,care.virtue,0.26966956
11,THE WOLF AND THE LAMB,"A Wolf came upon a Lamb straying from the flock, and felt some compunction about taking the life of so helpless a creature without some plausible excuse; so he cast about for a grievance and said at last, ""Last year, sirrah, you grossly insulted me."" ""That is impossible, sir,"" bleated the Lamb, ""for I wasn't born then."" ""Well,"" retorted the Wolf, ""you feed in my pastures."" ""That cannot be,"" replied the Lamb, ""for I have never yet tasted grass."" ""You drink from my spring, then,"" continued the Wolf. ""Indeed, sir,"" said the poor Lamb, ""I have never yet drunk anything but my mother's milk."" ""Well, anyhow,"" said the Wolf, ""I'm not going without my dinner"": and he sprang upon the Lamb and devoured it without more ado.",,0.24261858,0.219275,0.20550781,0.17608437,0.1750991,0.18627203,0.17158097,0.24425128,0.20915365,0.23598175,authority.vice,0.24425128
