id,dominant_lexicon,dominant_embedding
1,,authority.virtue
2,,sanctity.virtue
3,sanctity.virtue,sanctity.virtue
4,,sanctity.virtue
5,,sanctity.virtue
6,,sanctity.vice
7,,sanctity.vice
8,,authority.vice
9,,authority.virtue
10,sanctity.vice,sanctity.vice
11,,fairness.virtue
12,,care.virtue
13,,authority.virtue
14,care.vice,authority.vice
15,,fairness.vice
16,,sanctity.virtue
17,,care.virtue
18,,sanctity.vice
19,,authority.vice
20,,fairness.virtue
21,,authority.vice
22,,sanctity.vice
23,,loyalty.virtue
24,,authority.virtue
25,care.virtue,care.virtue
26,,sanctity.vice
27,,authority.vice
28,,sanctity.virtue
29,,sanctity.virtue
30,,sanctity.virtue
31,,sanctity.vice
32,,authority.virtue
33,care.vice,care.vice
34,,authority.virtue
35,,sanctity.vice
36,,loyalty.virtue
37,,sanctity.vice
38,,sanctity.vice
39,authority.virtue,sanctity.virtue
40,,sanctity.virtue
41,,sanctity.vice
42,,authority.vice
43,,sanctity.vice
44,,fairness.virtue
45,sanctity.virtue,sanctity.virtue
46,,sanctity.vice
47,,sanctity.virtue
48,,sanctity.vice
49,,care.virtue
50,,authority.vice
51,,care.virtue
52,,authority.vice
53,,care.virtue
54,,sanctity.vice
55,,sanctity.vice
56,,loyalty.vice
57,,authority.vice
58,,sanctity.vice
59,,sanctity.vice
60,,care.vice
61,,care.virtue
62,,care.virtue
63,sanctity.virtue,sanctity.virtue
64,,care.virtue
65,,care.vice
66,,authority.vice
67,,loyalty.virtue
68,,sanctity.vice
69,,care.virtue
70,,fairness.vice
71,,sanctity.vice
72,,care.virtue
73,,sanctity.virtue
74,,sanctity.virtue
75,,sanctity.virtue
76,,fairness.virtue
77,,sanctity.virtue
78,,sanctity.virtue
79,,sanctity.vice
80,,sanctity.vice
81,,sanctity.vice
82,,sanctity.virtue
83,,sanctity.vice
84,,sanctity.vice
85,,authority.vice
86,,care.vice
87,,sanctity.vice
88,,sanctity.vice
89,,sanctity.vice
90,authority.virtue,fairness.virtue
91,sanctity.virtue,sanctity.virtue
92,,sanctity.vice
93,,authority.vice
