id,dominant_lexicon,dominant_embedding
1,,care.virtue
2,,sanctity.virtue
3,,sanctity.vice
4,,sanctity.vice
5,,sanctity.vice
6,,care.virtue
7,,sanctity.virtue
8,,care.virtue
9,,sanctity.virtue
10,,sanctity.virtue
11,,sanctity.vice
12,,sanctity.vice
13,,sanctity.virtue
14,,sanctity.vice
15,,sanctity.vice
16,sanctity.virtue,sanctity.virtue
17,loyalty.virtue,sanctity.vice
18,,sanctity.virtue
19,care.virtue,care.virtue
20,,sanctity.vice
21,,authority.vice
22,,sanctity.vice
23,,sanctity.vice
24,sanctity.vice,sanctity.vice
25,,sanctity.vice
26,,authority.virtue
27,,sanctity.vice
28,,sanctity.virtue
29,sanctity.vice,loyalty.virtue
30,,sanctity.virtue
