id,dominant_lexicon,dominant_embedding
1,care.virtue,sanctity.virtue
2,fairness.virtue,sanctity.virtue
3,,sanctity.vice
4,,sanctity.vice
5,,sanctity.vice
6,,care.virtue
7,,sanctity.vice
8,authority.virtue,authority.virtue
9,,sanctity.virtue
10,,sanctity.virtue
11,,loyalty.virtue
12,,sanctity.virtue
13,,sanctity.virtue
14,,sanctity.vice
15,,sanctity.virtue
16,,sanctity.virtue
17,sanctity.vice,sanctity.virtue
18,,loyalty.virtue
19,,sanctity.vice
20,,sanctity.vice
21,,care.virtue
22,,sanctity.vice
23,,sanctity.virtue
24,,sanctity.vice
25,loyalty.virtue,sanctity.vice
26,loyalty.virtue,sanctity.virtue
27,,authority.vice
28,,sanctity.vice
29,,sanctity.virtue
30,,sanctity.vice
31,,sanctity.virtue
32,,sanctity.virtue
33,,sanctity.vice
34,,sanctity.virtue
35,,sanctity.virtue
36,,sanctity.virtue
37,sanctity.virtue,sanctity.vice
38,,sanctity.virtue
39,,sanctity.vice
40,,sanctity.virtue
