id,dominant_lexicon,dominant_embedding
1,,authority.virtue
2,,sanctity.virtue
3,,loyalty.virtue
4,,loyalty.virtue
5,sanctity.virtue,sanctity.virtue
6,,sanctity.virtue
7,,authority.vice
8,,sanctity.virtue
9,,sanctity.vice
10,sanctity.virtue,sanctity.virtue
11,,sanctity.vice
12,,sanctity.vice
13,care.vice,sanctity.vice
14,,sanctity.vice
15,,sanctity.vice
16,,sanctity.vice
17,,sanctity.virtue
18,,sanctity.vice
19,,sanctity.virtue
20,,sanctity.virtue
21,,sanctity.virtue
22,,sanctity.vice
23,,sanctity.virtue
24,,sanctity.vice
25,,sanctity.virtue
26,,authority.virtue
27,,sanctity.vice
28,,authority.virtue
29,,care.virtue
30,,sanctity.virtue
31,,sanctity.virtue
32,,sanctity.vice
33,,sanctity.vice
34,,sanctity.vice
35,sanctity.virtue,sanctity.vice
36,authority.virtue,sanctity.virtue
37,,authority.vice
38,,sanctity.virtue
39,,sanctity.virtue
40,fairness.virtue,fairness.virtue
41,authority.virtue,loyalty.virtue
42,authority.virtue,loyalty.virtue
43,sanctity.virtue,sanctity.virtue
44,,sanctity.vice
45,,care.virtue
46,,sanctity.virtue
47,,sanctity.vice
48,,sanctity.virtue
49,,sanctity.virtue
50,,sanctity.virtue
51,authority.virtue,authority.virtue
52,,care.virtue
53,,sanctity.vice
54,,sanctity.virtue
55,sanctity.virtue,sanctity.virtue
56,,care.virtue
57,,care.virtue
58,,sanctity.virtue
59,,authority.vice
60,,care.virtue
61,,loyalty.virtue
62,,sanctity.vice
63,,loyalty.virtue
64,,sanctity.vice
65,,sanctity.vice
66,,loyalty.virtue
67,authority.virtue,care.virtue
68,,authority.virtue
69,,care.virtue
70,care.virtue,care.virtue
71,,loyalty.virtue
72,,care.virtue
73,,loyalty.virtue
74,,care.virtue
75,,authority.virtue
76,authority.virtue,care.virtue
77,sanctity.virtue,sanctity.virtue
78,,sanctity.vice
79,,sanctity.vice
80,,sanctity.virtue
81,,loyalty.virtue
82,,sanctity.vice
83,,sanctity.vice
84,,sanctity.virtue
85,,sanctity.vice
86,,sanctity.vice
87,care.virtue,loyalty.virtue
88,,sanctity.virtue
89,care.virtue,sanctity.vice
90,,sanctity.vice
91,,sanctity.vice
92,,loyalty.virtue
93,sanctity.virtue,sanctity.virtue
94,,sanctity.virtue
95,,authority.vice
96,,sanctity.virtue
97,,care.virtue
98,,care.virtue
99,,sanctity.virtue
100,,sanctity.vice
101,,care.virtue
102,,care.virtue
103,care.virtue,care.virtue
104,,care.virtue
105,care.virtue,care.virtue
106,,sanctity.vice
107,,loyalty.virtue
108,,care.virtue
109,,care.vice
110,,care.vice
111,,sanctity.vice
112,,sanctity.vice
113,,sanctity.vice
114,,sanctity.vice
115,,care.virtue
116,,authority.vice
117,,care.virtue
118,,loyalty.virtue
119,,sanctity.vice
120,,sanctity.vice
121,sanctity.virtue,sanctity.vice
122,,care.virtue
123,,sanctity.virtue
124,,sanctity.virtue
125,,sanctity.virtue
126,,sanctity.vice
127,,sanctity.vice
128,,sanctity.virtue
129,,sanctity.vice
130,,sanctity.vice
131,,authority.virtue
132,authority.virtue,care.virtue
133,,loyalty.virtue
134,,sanctity.vice
135,,sanctity.vice
136,,sanctity.vice
137,fairness.virtue,authority.virtue
138,,care.virtue
139,,sanctity.vice
140,,sanctity.vice
141,,sanctity.vice
142,,loyalty.virtue
143,,sanctity.vice
144,,sanctity.virtue
145,fairness.virtue,sanctity.virtue
146,,loyalty.vice
147,,sanctity.virtue
148,,sanctity.virtue
149,,care.virtue
150,,sanctity.virtue
151,,authority.vice
152,,care.virtue
153,,care.vice
154,,sanctity.virtue
155,loyalty.virtue,sanctity.vice
156,sanctity.virtue,authority.virtue
157,,sanctity.virtue
158,,authority.virtue
159,sanctity.virtue,sanctity.virtue
160,,loyalty.virtue
161,,sanctity.virtue
162,,sanctity.vice
163,,sanctity.vice
164,,sanctity.vice
165,,sanctity.vice
166,,sanctity.vice
167,,sanctity.vice
168,,sanctity.vice
169,,sanctity.vice
170,,sanctity.vice
171,,sanctity.vice
172,,sanctity.vice
173,,authority.vice
174,,sanctity.vice
175,,sanctity.vice
176,,sanctity.virtue
177,care.virtue,sanctity.vice
178,,sanctity.vice
179,,loyalty.virtue
180,,sanctity.vice
181,,authority.vice
182,,sanctity.vice
183,,sanctity.vice
184,,sanctity.virtue
185,,loyalty.virtue
186,,fairness.virtue
187,,fairness.vice
188,,care.vice
189,,sanctity.vice
190,,care.vice
191,,sanctity.virtue
192,,fairness.virtue
193,,sanctity.virtue
194,,sanctity.vice
195,,sanctity.vice
196,,sanctity.vice
197,,authority.vice
198,,sanctity.vice
199,,sanctity.vice
200,,fairness.virtue
201,,sanctity.vice
202,,care.virtue
203,,sanctity.vice
204,,sanctity.vice
205,,sanctity.vice
206,,sanctity.vice
207,,sanctity.vice
208,,sanctity.vice
209,,sanctity.vice
210,,sanctity.vice
211,,sanctity.virtue
212,,sanctity.vice
213,,sanctity.virtue
214,,care.virtue
215,,sanctity.virtue
216,,care.virtue
217,,sanctity.virtue
218,,sanctity.vice
219,,sanctity.virtue
220,,sanctity.vice
221,,sanctity.vice
222,,sanctity.virtue
223,,loyalty.virtue
224,,care.virtue
225,,authority.virtue
226,,sanctity.vice
227,,sanctity.virtue
228,,sanctity.vice
229,,sanctity.vice
230,,sanctity.vice
231,,care.virtue
232,sanctity.virtue,sanctity.vice
233,,sanctity.virtue
234,,sanctity.virtue
235,,sanctity.vice
236,,sanctity.virtue
237,,authority.vice
238,,sanctity.vice
239,,loyalty.virtue
240,,authority.vice
241,,sanctity.virtue
242,,care.virtue
243,authority.virtue,sanctity.virtue
244,,sanctity.virtue
245,,sanctity.virtue
246,,sanctity.vice
247,,authority.vice
248,,sanctity.vice
249,,sanctity.virtue
250,sanctity.virtue,care.virtue
251,,sanctity.vice
252,,care.virtue
253,,authority.vice
254,,care.vice
255,,sanctity.vice
256,,sanctity.vice
257,,sanctity.vice
258,,sanctity.vice
259,,sanctity.vice
260,,care.virtue
261,,sanctity.vice
262,sanctity.virtue,sanctity.virtue
263,,sanctity.vice
264,,sanctity.virtue
265,,sanctity.virtue
266,,sanctity.virtue
267,,sanctity.vice
268,,care.vice
269,,sanctity.virtue
270,,authority.virtue
271,,fairness.vice
272,,sanctity.vice
273,,care.vice
274,,sanctity.vice
275,,sanctity.vice
276,,sanctity.vice
277,,loyalty.virtue
278,,sanctity.vice
279,,sanctity.vice
280,,sanctity.vice
281,,sanctity.virtue
282,,sanctity.virtue
283,,sanctity.vice
284,care.virtue,sanctity.vice
285,,sanctity.virtue
286,,sanctity.vice
287,,sanctity.vice
288,,authority.virtue
289,,sanctity.vice
290,,fairness.vice
291,,sanctity.virtue
292,,authority.vice
293,care.virtue,care.virtue
294,,sanctity.vice
295,,sanctity.virtue
296,,sanctity.vice
297,,sanctity.virtue
298,,sanctity.virtue
299,,fairness.virtue
300,,sanctity.vice
301,,sanctity.vice
302,,sanctity.vice
303,,sanctity.vice
304,,sanctity.vice
305,,authority.vice
306,,care.vice
307,,care.vice
308,,sanctity.vice
309,,care.virtue
310,,sanctity.vice
311,authority.virtue,care.virtue
312,,sanctity.vice
313,,sanctity.vice
314,,sanctity.vice
315,,sanctity.virtue
316,,sanctity.vice
317,,sanctity.virtue
318,,authority.virtue
319,,care.vice
320,,sanctity.vice
321,,sanctity.virtue
322,,loyalty.virtue
323,loyalty.virtue,care.vice
324,,sanctity.virtue
325,,care.vice
326,,care.vice
327,,sanctity.vice
328,,sanctity.virtue
329,,care.vice
330,,sanctity.vice
331,,sanctity.virtue
332,,sanctity.vice
333,,sanctity.virtue
334,,sanctity.vice
335,,sanctity.vice
336,,sanctity.vice
337,,sanctity.vice
338,,sanctity.vice
339,,sanctity.vice
340,,sanctity.vice
341,,sanctity.virtue
342,,sanctity.vice
343,,sanctity.virtue
344,,sanctity.virtue
345,,loyalty.virtue
346,,sanctity.vice
347,,sanctity.vice
348,,sanctity.vice
349,,sanctity.virtue
350,,sanctity.vice
351,,sanctity.vice
352,,sanctity.vice
353,,sanctity.vice
354,,sanctity.vice
355,,authority.vice
356,,sanctity.virtue
357,,authority.vice
358,,sanctity.virtue
359,,sanctity.vice
360,sanctity.vice,sanctity.vice
361,sanctity.vice,sanctity.vice
362,,sanctity.virtue
363,,sanctity.virtue
364,,authority.vice
365,,authority.vice
366,,authority.vice
367,,sanctity.vice
368,care.vice,sanctity.virtue
369,,sanctity.virtue
370,sanctity.virtue,sanctity.vice
371,sanctity.virtue,sanctity.vice
372,,sanctity.vice
373,,sanctity.vice
374,sanctity.virtue,sanctity.virtue
375,,sanctity.virtue
376,,sanctity.vice
377,,sanctity.vice
378,,sanctity.vice
379,,sanctity.virtue
380,,sanctity.virtue
381,,sanctity.vice
382,,loyalty.virtue
383,,authority.virtue
384,,sanctity.virtue
385,,sanctity.virtue
386,,care.virtue
387,,sanctity.vice
388,,sanctity.virtue
389,,care.virtue
390,,sanctity.virtue
391,,sanctity.virtue
392,,authority.virtue
393,,sanctity.vice
394,,sanctity.virtue
395,,sanctity.vice
396,,sanctity.vice
397,,sanctity.vice
398,,sanctity.virtue
399,,sanctity.vice
400,,sanctity.vice
401,,sanctity.vice
402,,sanctity.vice
403,,sanctity.virtue
404,,loyalty.virtue
405,,sanctity.virtue
406,,authority.virtue
407,,care.virtue
408,,sanctity.vice
409,,sanctity.vice
410,,authority.virtue
411,,loyalty.virtue
412,,sanctity.vice
413,,sanctity.vice
414,,sanctity.vice
415,,sanctity.vice
416,authority.virtue,sanctity.vice
417,,sanctity.virtue
418,,sanctity.virtue
419,,fairness.virtue
420,,sanctity.virtue
421,,sanctity.vice
422,,sanctity.virtue
423,,sanctity.vice
424,,care.virtue
425,,fairness.vice
426,,sanctity.vice
427,,sanctity.vice
428,,sanctity.virtue
429,,sanctity.virtue
430,,authority.virtue
431,sanctity.vice,care.vice
432,,sanctity.virtue
433,,sanctity.vice
434,,sanctity.virtue
435,,fairness.virtue
436,,authority.vice
437,,fairness.vice
438,,sanctity.virtue
439,,sanctity.vice
440,,sanctity.virtue
441,care.virtue,care.virtue
442,,sanctity.virtue
443,,authority.virtue
444,,care.virtue
445,,sanctity.virtue
446,,authority.virtue
447,,authority.virtue
448,,authority.virtue
449,,sanctity.virtue
450,,sanctity.vice
451,,care.vice
452,,sanctity.virtue
453,,sanctity.vice
454,,loyalty.virtue
455,,sanctity.virtue
456,sanctity.virtue,sanctity.virtue
457,,loyalty.virtue
458,,fairness.virtue
459,,care.virtue
460,,loyalty.vice
461,,sanctity.virtue
462,,sanctity.vice
463,,loyalty.virtue
464,,sanctity.vice
465,,authority.virtue
466,,authority.vice
467,,sanctity.vice
468,,sanctity.virtue
469,,sanctity.vice
470,,sanctity.vice
471,,sanctity.vice
472,,sanctity.vice
473,,authority.virtue
474,,authority.virtue
475,,loyalty.virtue
476,,sanctity.vice
477,,sanctity.vice
478,,sanctity.virtue
479,,sanctity.virtue
480,,sanctity.vice
481,,sanctity.vice
482,,sanctity.vice
483,,authority.virtue
484,,sanctity.virtue
485,,authority.virtue
486,,sanctity.vice
487,,authority.virtue
488,,sanctity.virtue
489,,authority.virtue
490,,sanctity.virtue
491,,sanctity.vice
492,,sanctity.vice
493,,loyalty.virtue
494,,sanctity.virtue
495,,authority.vice
496,,sanctity.vice
497,,sanctity.virtue
498,,care.virtue
499,,loyalty.virtue
500,,care.vice
501,,sanctity.vice
502,,sanctity.virtue
503,,sanctity.vice
504,,sanctity.vice
505,,authority.vice
506,,authority.virtue
507,,authority.virtue
508,fairness.virtue,fairness.virtue
509,,sanctity.virtue
510,,care.virtue
511,,sanctity.virtue
512,,care.virtue
513,,authority.virtue
514,,fairness.virtue
515,,sanctity.virtue
516,,fairness.virtue
517,,sanctity.virtue
518,,fairness.virtue
519,,fairness.virtue
520,,sanctity.vice
521,,authority.virtue
522,,sanctity.vice
523,,loyalty.virtue
524,,sanctity.vice
525,,sanctity.vice
526,care.virtue,care.virtue
527,,sanctity.vice
528,,sanctity.vice
529,,authority.virtue
530,,loyalty.virtue
531,,authority.vice
532,,sanctity.vice
533,,sanctity.vice
534,,sanctity.vice
535,,authority.vice
536,,sanctity.vice
537,,care.virtue
538,,sanctity.vice
539,,sanctity.virtue
540,,authority.vice
541,,sanctity.virtue
542,,sanctity.virtue
543,,authority.virtue
544,,sanctity.virtue
545,,authority.virtue
546,,sanctity.vice
547,,authority.virtue
548,,sanctity.virtue
549,,sanctity.vice
550,,sanctity.vice
551,,care.vice
552,,care.vice
553,,sanctity.vice
554,,authority.virtue
555,loyalty.virtue,sanctity.vice
556,,sanctity.virtue
557,loyalty.virtue,authority.virtue
558,,sanctity.virtue
559,,authority.vice
560,,authority.virtue
561,,sanctity.vice
562,,authority.virtue
563,,sanctity.vice
564,,sanctity.vice
565,,sanctity.vice
566,,sanctity.vice
567,,sanctity.vice
568,,authority.virtue
569,,sanctity.vice
570,,authority.virtue
571,,sanctity.vice
572,,sanctity.vice
573,,sanctity.vice
574,,sanctity.virtue
575,,sanctity.vice
576,,sanctity.vice
577,,sanctity.vice
578,,sanctity.vice
579,,sanctity.vice
580,loyalty.virtue,sanctity.vice
581,,care.virtue
582,,sanctity.virtue
583,,authority.virtue
584,,authority.virtue
585,,sanctity.vice
586,,loyalty.virtue
587,,sanctity.vice
588,,sanctity.vice
589,,sanctity.vice
590,,sanctity.vice
591,,sanctity.vice
592,,sanctity.vice
593,,loyalty.virtue
594,,sanctity.vice
595,,sanctity.vice
596,,sanctity.vice
597,,sanctity.virtue
598,,sanctity.vice
599,,sanctity.vice
600,,sanctity.vice
601,,sanctity.vice
602,,sanctity.virtue
603,,sanctity.vice
604,,sanctity.vice
605,,sanctity.vice
606,,sanctity.vice
607,,sanctity.vice
608,,sanctity.vice
609,,sanctity.vice
610,authority.virtue,fairness.vice
611,,authority.virtue
612,sanctity.virtue,sanctity.virtue
613,,sanctity.vice
614,,sanctity.virtue
615,,sanctity.vice
616,,sanctity.vice
617,care.vice,care.vice
618,,sanctity.vice
619,,sanctity.vice
620,fairness.virtue,authority.virtue
621,,sanctity.vice
622,,sanctity.vice
623,,sanctity.virtue
624,,sanctity.vice
625,,sanctity.vice
626,,sanctity.vice
627,,sanctity.vice
628,,sanctity.vice
629,,sanctity.vice
630,care.vice,care.virtue
631,care.vice,care.virtue
632,,authority.vice
633,,sanctity.vice
634,,sanctity.vice
635,,loyalty.virtue
636,,authority.virtue
637,authority.virtue,sanctity.virtue
638,,authority.virtue
639,sanctity.virtue,sanctity.vice
640,,loyalty.virtue
641,,sanctity.vice
642,,sanctity.vice
643,,sanctity.virtue
644,,sanctity.vice
645,,fairness.virtue
646,,sanctity.virtue
647,,authority.vice
648,,authority.vice
649,,authority.vice
650,,sanctity.vice
651,,loyalty.virtue
652,,sanctity.vice
653,,care.virtue
654,,care.virtue
655,,sanctity.virtue
656,,sanctity.vice
657,,sanctity.virtue
658,,sanctity.vice
659,,sanctity.virtue
660,,sanctity.vice
661,,care.virtue
662,,sanctity.vice
663,,fairness.virtue
664,,sanctity.vice
665,,sanctity.vice
666,,fairness.virtue
667,,sanctity.vice
668,,loyalty.virtue
669,,sanctity.vice
670,,sanctity.vice
671,care.vice,care.virtue
672,,sanctity.virtue
673,,sanctity.vice
674,,sanctity.vice
675,,sanctity.vice
676,,sanctity.vice
677,,sanctity.vice
678,,fairness.virtue
679,,loyalty.virtue
680,,sanctity.vice
681,,sanctity.vice
682,,care.virtue
683,,sanctity.virtue
684,,loyalty.virtue
685,,authority.virtue
686,,loyalty.virtue
687,,care.virtue
688,,authority.virtue
689,,authority.virtue
690,sanctity.virtue,sanctity.virtue
691,,authority.virtue
692,,sanctity.virtue
693,,sanctity.vice
694,authority.virtue,authority.vice
695,,care.virtue
696,,sanctity.vice
697,,loyalty.virtue
698,,authority.vice
699,,authority.vice
700,,sanctity.vice
701,,sanctity.virtue
702,,sanctity.vice
703,,sanctity.vice
704,,sanctity.virtue
705,,sanctity.vice
706,,loyalty.virtue
707,,sanctity.virtue
708,,sanctity.virtue
709,,sanctity.vice
710,,sanctity.vice
711,,loyalty.virtue
712,,sanctity.vice
713,sanctity.virtue,sanctity.virtue
714,care.virtue,care.virtue
715,,authority.virtue
716,,sanctity.vice
717,,sanctity.vice
718,,authority.virtue
719,,sanctity.vice
720,,sanctity.vice
721,,sanctity.virtue
722,,sanctity.vice
723,sanctity.virtue,sanctity.virtue
724,,loyalty.virtue
725,,loyalty.vice
726,,fairness.vice
727,,authority.virtue
728,,fairness.vice
729,,sanctity.vice
730,,sanctity.vice
731,,sanctity.vice
732,,fairness.vice
733,,sanctity.vice
734,loyalty.virtue,authority.virtue
735,loyalty.virtue,sanctity.virtue
736,loyalty.virtue,loyalty.virtue
737,loyalty.virtue,loyalty.virtue
738,loyalty.virtue,sanctity.vice
739,,authority.virtue
740,,authority.virtue
741,,loyalty.virtue
742,loyalty.virtue,care.virtue
