id,dominant_lexicon,dominant_embedding
1,,sanctity.virtue
2,,care.virtue
3,,sanctity.vice
4,,sanctity.vice
5,,sanctity.vice
6,,loyalty.virtue
7,,sanctity.virtue
8,,sanctity.vice
9,,sanctity.virtue
10,,sanctity.vice
11,care.virtue,sanctity.vice
12,,sanctity.virtue
13,authority.virtue,sanctity.vice
14,,sanctity.virtue
15,,sanctity.vice
16,care.virtue,sanctity.virtue
17,authority.virtue,sanctity.vice
18,,sanctity.virtue
19,,sanctity.vice
20,care.virtue,sanctity.virtue
21,,sanctity.virtue
22,,sanctity.virtue
23,,sanctity.virtue
24,sanctity.virtue,sanctity.vice
25,,authority.virtue
26,sanctity.virtue,sanctity.virtue
27,,sanctity.virtue
28,care.virtue,sanctity.virtue
29,care.virtue,care.virtue
30,fairness.virtue,fairness.vice
31,,loyalty.virtue
32,,sanctity.vice
33,,sanctity.vice
34,fairness.virtue,sanctity.virtue
35,,sanctity.virtue
36,,sanctity.virtue
37,,sanctity.vice
38,,sanctity.virtue
39,,sanctity.virtue
40,,loyalty.virtue
41,,care.virtue
42,loyalty.virtue,sanctity.virtue
43,sanctity.vice,sanctity.vice
44,,sanctity.virtue
45,loyalty.virtue,loyalty.virtue
46,,loyalty.virtue
47,,sanctity.virtue
48,,sanctity.vice
49,,sanctity.vice
50,care.virtue,sanctity.virtue
51,,care.virtue
52,,sanctity.virtue
53,,sanctity.vice
54,,sanctity.virtue
55,,sanctity.virtue
56,,sanctity.virtue
57,,sanctity.virtue
58,,sanctity.virtue
59,,care.vice
60,,sanctity.virtue
61,care.virtue,sanctity.virtue
62,,sanctity.virtue
63,care.virtue,care.virtue
64,sanctity.virtue,sanctity.virtue
65,fairness.virtue,sanctity.virtue
66,,care.virtue
67,care.virtue,sanctity.virtue
68,authority.virtue,sanctity.virtue
69,,sanctity.virtue
70,sanctity.virtue,sanctity.vice
71,,sanctity.virtue
72,,care.virtue
73,authority.virtue,loyalty.virtue
74,,sanctity.virtue
75,,sanctity.virtue
76,,sanctity.virtue
77,authority.virtue,sanctity.virtue
78,loyalty.virtue,loyalty.virtue
79,,sanctity.vice
80,,sanctity.virtue
81,authority.virtue,sanctity.vice
82,,loyalty.virtue
83,fairness.vice,sanctity.vice
84,,sanctity.vice
85,sanctity.vice,sanctity.virtue
86,,sanctity.vice
87,,sanctity.vice
88,,sanctity.vice
89,,sanctity.virtue
90,loyalty.virtue,sanctity.virtue
91,,sanctity.vice
92,,loyalty.virtue
93,fairness.virtue,sanctity.virtue
94,,sanctity.virtue
95,,care.virtue
96,care.virtue,care.virtue
97,sanctity.virtue,sanctity.virtue
98,care.vice,loyalty.virtue
99,,loyalty.virtue
100,,sanctity.virtue
101,,authority.virtue
102,loyalty.virtue,sanctity.virtue
103,,authority.virtue
104,,sanctity.vice
105,,sanctity.vice
106,,sanctity.vice
107,sanctity.virtue,sanctity.virtue
108,,sanctity.virtue
109,,sanctity.vice
110,fairness.vice,sanctity.virtue
111,sanctity.vice,sanctity.vice
112,fairness.virtue,sanctity.vice
113,,sanctity.virtue
114,sanctity.vice,care.virtue
115,authority.virtue,sanctity.virtue
116,,sanctity.vice
117,,sanctity.virtue
118,authority.virtue,sanctity.vice
119,care.virtue,sanctity.virtue
120,,sanctity.vice
121,,care.virtue
122,loyalty.virtue,sanctity.vice
123,,care.virtue
124,loyalty.virtue,authority.virtue
125,,sanctity.virtue
126,,care.virtue
127,,loyalty.virtue
128,,sanctity.vice
129,,sanctity.virtue
130,,sanctity.vice
131,,sanctity.virtue
132,sanctity.virtue,sanctity.vice
133,sanctity.vice,sanctity.vice
134,,sanctity.virtue
135,care.virtue,sanctity.virtue
