line_number,text
1,ஆத்தி சூடி அமர்ந்த தேவனை
2,ஏத்தி ஏத்தித் தொழுவோம் யாமே.
3,அறம் செய விரும்பு.
4,ஆறுவது சினம்.
5,இயல்வது கரவேல்.
6,ஈவது விலக்கேல்.
7,உடையது விளம்பேல்.
8,ஊக்கமது கைவிடேல்.
9,எண் எழுத்து இகழேல்.
10,ஏற்பது இகழ்ச்சி.
11,ஐயம் இட்டு உண்.
12,ஒப்புரவு ஒழுகு.
13,ஓதுவது ஒழியேல்.
14,ஔவியம் பேசேல்.
15,அஃகம் சுருக்கேல்.
16,கண்டொன்று சொல்லேல்.
17,ஙப் போல் வளை.
18,சனி நீராடு.
19,ஞயம்பட உரை.
20,இடம்பட வீடு எடேல்.
21,இணக்கம் அறிந்து இணங்கு.
22,தந்தை தாய்ப் பேண்.
23,நன்றி மறவேல்.
24,பருவத்தே பயிர் செய்.
25,மண் பறித்து உண்ணேல்.
26,இயல்பு அலாதன செய்யேல்.
27,அரவம் ஆட்டேல்.
28,இலவம் பஞ்சில் துயில்.
29,வஞ்சகம் பேசேல்.
30,அழகு அலாதன செய்யேல்.
31,இளமையில் கல்.
32,அரனை மறவேல்.
33,அனந்தல் ஆடேல்.
34,கடிவது மற.
35,காப்பது விரதம்.
36,கிழமைப்பட வாழ்.
37,கீழ்மை அகற்று.
38,குணமது கைவிடேல்.
39,கூடிப் பிரியேல்.
40,கெடுப்பது ஒழி.
41,கேள்வி முயல்.
42,கைவினை கரவேல்.
43,கொள்ளை விரும்பேல்.
44,கோதாட்டு ஒழி.
45,கௌவை அகற்று.
46,சக்கர நெறி நில்.
47,சான்றோர் இனத்து இரு.
48,சித்திரம் பேசேல்.
49,சீர்மை மறவேல்.
50,சுளிக்கச் சொல்லேல்.
51,சூது விரும்பேல்.
52,செய்வன திருந்தச் செய்.
53,சேரிடம் அறிந்து சேர்.
54,சையெனத் திரியேல்.
55,சொற் சோர்வு படேல்.
56,சோம்பித் திரியேல்.
57,தக்கோன் எனத் திரி.
58,தானமது விரும்பு.
59,திருமாலுக்கு அடிமை செய்.
60,தீவினை அகற்று.
61,துன்பத்திற்கு இடம் கொடேல்.
62,தூக்கி வினை செய்.
63,தெய்வம் இகழேல்.
64,தேசத்தோடு ஒட்டி வாழ்.
65,தையல் சொல் கேளேல்.
66,தொன்மை மறவேல்.
67,தோற்பன தொடரேல்.
68,நன்மை கடைப்பிடி.
69,நாடு ஒப்பன செய்.
70,நிலையில் பிரியேல்.
71,நீர் விளையாடேல்.
72,நுண்மை நுகரேல்.
73,நூல் பல கல்.
74,நெற்பயிர் விளைவு செய்.
75,நேர்பட ஒழுகு.
76,நைவினை நணுகேல்.
77,நொய்ய உரையேல்.
78,நோய்க்கு இடம் கொடேல்.
79,பழிப்பன பகரேல்.
80,பாம்பொடு பழகேல்.
81,பிழைபடச் சொல்லேல்.
82,பீடு பெற நில்.
83,புகழ்ந்தாரைப் போற்றி வாழ்.
84,பூமி திருத்தி உண்.
85,பெரியாரைத் துணைக் கொள்.
86,பேதைமை அகற்று.
87,பையலோடு இணங்கேல்.
88,பொருள்தனைப் போற்றி வாழ்.
89,போர்த் தொழில் புரியேல்.
90,மனம் தடுமாறேல்.
91,மாற்றானுக்கு இடம் கொடேல்.
92,மிகைபடச் சொல்லேல்.
93,மீதூண் விரும்பேல்.
94,முனைமுகத்து நில்லேல்.
95,மூர்க்கரோடு இணங்கேல்.
96,மெல்லி நல்லாள் தோள்சேர்.
97,மேன்மக்கள் சொல் கேள்.
98,மை விழியார் மனை அகல்.
99,மொழிவது அற மொழி.
100,மோகத்தை முனி.
101,வல்லமை பேசேல்.
102,வாது முற்கூறேல்.
103,வித்தை விரும்பு.
104,வீடு பெற நில்.
105,உத்தமனாய் இரு.
106,ஊருடன் கூடி வாழ்.
107,வெட்டெனப் பேசேல்.
108,வேண்டி வினை செயேல்.
109,வைகறைத் துயில் எழு.
110,ஒன்னாரைத் தேறேல்.
111,ஓரம் சொல்லேல்.
