verse_number,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
1,ஆத்தி சூடி அமர்ந்த தேவனை,0.1737765,0.12607582,0.13728493,0.1574015,0.087733656,0.12025784,0.20846045,0.11790707,0.28047758,0.13875952,sanctity.virtue,0.28047758
2,ஏத்தி ஏத்தித் தொழுவோம் யாமே.,0.50864303,0.43088153,0.4002866,0.38589922,0.46517885,0.43229154,0.46265915,0.4229854,0.61831725,0.44383192,sanctity.virtue,0.61831725
3,அறம் செய விரும்பு.,0.5108406,0.39942622,0.42519444,0.3541233,0.36958462,0.4015083,0.44184062,0.39813903,0.5604634,0.3959157,sanctity.virtue,0.5604634
4,ஆறுவது சினம்.,0.57735354,0.6163367,0.5335037,0.49597394,0.5178122,0.49788028,0.5451579,0.5451686,0.5663899,0.6193244,sanctity.vice,0.6193244
5,இயல்வது கரவேல்.,0.4955089,0.4649065,0.5000038,0.45258343,0.46911204,0.43888488,0.4978791,0.4456481,0.53901076,0.51937413,sanctity.virtue,0.53901076
6,ஈவது விலக்கேல்.,0.66481626,0.6048561,0.65891,0.65792257,0.61608136,0.6698246,0.64199877,0.64401287,0.68009174,0.6622213,sanctity.virtue,0.68009174
7,உடையது விளம்பேல்.,0.37091738,0.40277505,0.36983502,0.4650154,0.39991313,0.45387232,0.3863297,0.47551465,0.44543344,0.5070871,sanctity.vice,0.5070871
8,ஊக்கமது கைவிடேல்.,0.49282363,0.4610334,0.48833245,0.52182186,0.48280197,0.5363704,0.5111575,0.47333044,0.5484827,0.564871,sanctity.vice,0.564871
9,எண் எழுத்து இகழேல்.,0.41130716,0.40150705,0.45934224,0.48474997,0.46265882,0.4434626,0.4616574,0.44633478,0.43683982,0.47006676,fairness.vice,0.48474997
10,ஏற்பது இகழ்ச்சி.,0.334287,0.39488912,0.43910033,0.47975704,0.41411966,0.49187937,0.41225594,0.5578052,0.36852407,0.49100524,authority.vice,0.5578052
11,ஐயம் இட்டு உண்.,0.47420263,0.44757566,0.4507113,0.46466953,0.45724806,0.42508626,0.44033402,0.44554546,0.47334936,0.46666896,care.virtue,0.47420263
12,ஒப்புரவு ஒழுகு.,0.5297055,0.4783902,0.5737027,0.53201044,0.5223122,0.49084076,0.55125535,0.51442206,0.5552686,0.58945143,sanctity.vice,0.58945143
13,ஓதுவது ஒழியேல்.,0.32174665,0.3120065,0.30274093,0.31747043,0.30130553,0.3055491,0.3620519,0.29734808,0.38847217,0.35237867,sanctity.virtue,0.38847217
14,ஔவியம் பேசேல்.,0.38849396,0.42770806,0.42115027,0.40782294,0.4254116,0.43102896,0.40050048,0.506643,0.4273476,0.43404478,authority.vice,0.506643
15,அஃகம் சுருக்கேல்.,0.4697696,0.49361414,0.4539241,0.5443297,0.49153322,0.49709168,0.4893421,0.49526447,0.5036811,0.59506965,sanctity.vice,0.59506965
16,கண்டொன்று சொல்லேல்.,0.55848324,0.55925304,0.56391597,0.4843271,0.53257835,0.49820834,0.5416039,0.54034275,0.61040246,0.587054,sanctity.virtue,0.61040246
17,ஙப் போல் வளை.,0.46992272,0.54722965,0.4896193,0.573701,0.5679982,0.5152973,0.5481788,0.54173326,0.52401996,0.6186389,sanctity.vice,0.6186389
18,சனி நீராடு.,0.16601793,0.111340135,0.15872815,0.14565292,0.11645152,0.10684833,0.14682743,0.108167954,0.1965869,0.16881484,sanctity.virtue,0.1965869
19,ஞயம்பட உரை.,0.45179462,0.4462633,0.4893339,0.38305646,0.417047,0.39748156,0.47709578,0.43136853,0.5366758,0.44952536,sanctity.virtue,0.5366758
20,இடம்பட வீடு எடேல்.,0.29303768,0.2542064,0.30601147,0.3299536,0.32101077,0.3004963,0.33932877,0.27444708,0.30604482,0.32573062,authority.virtue,0.33932877
21,இணக்கம் அறிந்து இணங்கு.,0.5450092,0.49995023,0.6182941,0.51147723,0.66504234,0.47756985,0.5789507,0.51467663,0.5373874,0.5291114,loyalty.virtue,0.66504234
22,தந்தை தாய்ப் பேண்.,0.37403774,0.104982734,0.16098931,0.08351658,0.18407294,0.06368176,0.23566459,0.028288139,0.205211,0.080489725,care.virtue,0.37403774
23,நன்றி மறவேல்.,0.48542473,0.28312564,0.35274643,0.24322505,0.31179315,0.2886169,0.36609566,0.28611338,0.46554035,0.30545926,care.virtue,0.48542473
24,பருவத்தே பயிர் செய்.,0.34430116,0.30212587,0.3132199,0.2984705,0.33774322,0.24354036,0.3267427,0.2697705,0.33128387,0.33851787,care.virtue,0.34430116
25,மண் பறித்து உண்ணேல்.,0.2620167,0.26562244,0.18719453,0.20478952,0.26412904,0.20444402,0.21375123,0.22467259,0.24533027,0.28016046,sanctity.vice,0.28016046
26,இயல்பு அலாதன செய்யேல்.,0.4966499,0.48328853,0.49887586,0.50331795,0.4981815,0.46952516,0.5029683,0.51258785,0.59198785,0.6082196,sanctity.vice,0.6082196
27,அரவம் ஆட்டேல்.,0.3464164,0.30942863,0.31307724,0.34497446,0.34827897,0.30270094,0.3674386,0.3211227,0.35643673,0.38945124,sanctity.vice,0.38945124
28,இலவம் பஞ்சில் துயில்.,0.21853423,0.16163212,0.16424143,0.19937961,0.17636345,0.15700367,0.15179515,0.17847764,0.20573643,0.25456074,sanctity.vice,0.25456074
29,வஞ்சகம் பேசேல்.,0.45147914,0.5499238,0.516642,0.7062779,0.5290296,0.67807746,0.4884761,0.6334646,0.5205457,0.6009432,fairness.vice,0.7062779
30,அழகு அலாதன செய்யேல்.,0.33916306,0.32752198,0.3128603,0.39886817,0.32499817,0.33921856,0.3487707,0.36240536,0.42708004,0.43154207,sanctity.vice,0.43154207
31,இளமையில் கல்.,0.34191695,0.33206522,0.34698683,0.34602755,0.3184974,0.2958806,0.33662573,0.315664,0.3821868,0.39685893,sanctity.vice,0.39685893
32,அரனை மறவேல்.,0.5057261,0.52007174,0.52043205,0.5594982,0.52454346,0.57126856,0.522902,0.61848915,0.55028355,0.5909638,authority.vice,0.61848915
33,அனந்தல் ஆடேல்.,0.22356439,0.18619782,0.212441,0.26529428,0.25003263,0.18551771,0.24579614,0.20447773,0.24231243,0.30408204,sanctity.vice,0.30408204
34,கடிவது மற.,0.52307403,0.5664408,0.49317157,0.5162926,0.4875962,0.5189183,0.47278082,0.5413077,0.54547447,0.59291756,sanctity.vice,0.59291756
35,காப்பது விரதம்.,0.5668913,0.36130154,0.40201983,0.33421105,0.36681712,0.35805434,0.4315489,0.35282397,0.493365,0.35475457,care.virtue,0.5668913
36,கிழமைப்பட வாழ்.,0.46052846,0.3239334,0.38217965,0.30455106,0.35243085,0.2974346,0.37641662,0.30221578,0.39735216,0.31600833,care.virtue,0.46052846
37,கீழ்மை அகற்று.,0.42275733,0.3956505,0.39050576,0.41655564,0.372707,0.4355763,0.4125516,0.41818035,0.42890072,0.4546727,sanctity.vice,0.4546727
38,குணமது கைவிடேல்.,0.45001173,0.32995886,0.38159275,0.35767657,0.36681557,0.36684996,0.4169542,0.31329456,0.49939868,0.42283386,sanctity.virtue,0.49939868
39,கூடிப் பிரியேல்.,0.56094563,0.51029193,0.5649736,0.52794063,0.6959529,0.52314484,0.57245827,0.5274521,0.57152635,0.5499319,loyalty.virtue,0.6959529
40,கெடுப்பது ஒழி.,0.49992412,0.5731308,0.49267775,0.6071016,0.48641747,0.5670068,0.5224483,0.5069483,0.52675647,0.6149634,sanctity.vice,0.6149634
41,கேள்வி முயல்.,0.3369673,0.3324398,0.3436669,0.34583485,0.3410998,0.31778643,0.332724,0.31671327,0.36624807,0.392574,sanctity.vice,0.392574
42,கைவினை கரவேல்.,0.44389117,0.44420898,0.4107917,0.44729185,0.43648982,0.41898826,0.46790677,0.4120245,0.45866498,0.450523,authority.virtue,0.46790677
43,கொள்ளை விரும்பேல்.,0.29864675,0.4502881,0.3195418,0.5122845,0.34229612,0.5107621,0.35466582,0.43567947,0.34558216,0.38795316,fairness.vice,0.5122845
44,கோதாட்டு ஒழி.,0.23190415,0.30031842,0.26609075,0.36059386,0.2776944,0.3342157,0.29544353,0.28154427,0.31273866,0.3997227,sanctity.vice,0.3997227
45,கௌவை அகற்று.,0.39987934,0.3836518,0.32943037,0.39824498,0.3796766,0.40959132,0.3884041,0.3619309,0.47032046,0.48660895,sanctity.vice,0.48660895
46,சக்கர நெறி நில்.,0.38430792,0.36175013,0.41850513,0.4351688,0.400886,0.39409888,0.47117358,0.42437807,0.37134913,0.42424735,authority.virtue,0.47117358
47,சான்றோர் இனத்து இரு.,0.43075362,0.38839388,0.44865766,0.3663405,0.46447054,0.40703404,0.41374373,0.39628667,0.5072199,0.3959551,sanctity.virtue,0.5072199
48,சித்திரம் பேசேல்.,0.32991076,0.4069922,0.40150777,0.4137132,0.35383305,0.41199338,0.3552788,0.45851973,0.38493112,0.42772153,authority.vice,0.45851973
49,சீர்மை மறவேல்.,0.566401,0.51329505,0.5768211,0.5538712,0.5735182,0.5708322,0.55693203,0.63184464,0.61695516,0.6003727,authority.vice,0.63184464
50,சுளிக்கச் சொல்லேல்.,0.42558438,0.4164625,0.33766794,0.3949501,0.35526946,0.40459535,0.38613927,0.41477007,0.50279593,0.4899451,sanctity.virtue,0.50279593
51,சூது விரும்பேல்.,0.20745754,0.29306486,0.21520765,0.31779972,0.23579678,0.27675167,0.21330932,0.23877102,0.2411842,0.2935692,fairness.vice,0.31779972
52,செய்வன திருந்தச் செய்.,0.5156595,0.39987218,0.50064814,0.45891553,0.45074955,0.44398436,0.50257945,0.4679388,0.5259569,0.4152212,sanctity.virtue,0.5259569
53,சேரிடம் அறிந்து சேர்.,0.45083404,0.46404064,0.4741159,0.44408622,0.56428295,0.3978325,0.5076859,0.43077725,0.47098243,0.47787267,loyalty.virtue,0.56428295
54,சையெனத் திரியேல்.,0.50374705,0.5062711,0.513725,0.5100887,0.5620085,0.49828023,0.5374478,0.46370646,0.5825918,0.51984006,sanctity.virtue,0.5825918
55,சொற் சோர்வு படேல்.,0.3460405,0.35670877,0.36405873,0.39444166,0.3317567,0.3623585,0.36518747,0.37489852,0.35109586,0.44656724,sanctity.vice,0.44656724
56,சோம்பித் திரியேல்.,0.4138458,0.38935268,0.39580208,0.42708215,0.43283838,0.41157404,0.4239959,0.35397375,0.48316154,0.44025058,sanctity.virtue,0.48316154
57,தக்கோன் எனத் திரி.,0.4916194,0.49375397,0.5064635,0.47092462,0.5432448,0.45473987,0.5507066,0.42865765,0.5178783,0.48111352,authority.virtue,0.5507066
58,தானமது விரும்பு.,0.32133228,0.2600044,0.25660354,0.27417877,0.24346577,0.2614265,0.29821867,0.2335921,0.35210937,0.264986,sanctity.virtue,0.35210937
