verse_number,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
1,பாலும் தெளிதேனும் பாகும் பருப்புமிவை நாலும் கலந்துனக்கு நான் தருவேன் - கோலம்செய் துங்கக் கரிமுகத்து தூமணியே நீ எனக்கு சங்கத் தமிழ் மூன்றும் தா புண்ணியம்ஆம் பாவம்போல் போனநாள் செய்தஅவை மண்ணில் பிறந்தார்க்கு வைத்தபொருள் -எண்ணுங்கால் ஈதொழிய வேறில்லை; எச்சமயத்தோர் சொல்லும் தீதொழிய நன்மை செயல்.,0.56195205,0.44024503,0.42957705,0.43728048,0.48787254,0.4151997,0.47088355,0.3825643,0.56200755,0.49569884,sanctity.virtue,0.56200755
2,சாதி இரண்டொழிய வேறில்லை சாற்றுங்கால் நீதி வழுவா நெறிமுறையின் - மேதினியில் இட்டார் பெரியார் இடாதார் இழிகுலத்தார் பட்டாங்கில் உள்ள படி.,0.46862492,0.48242363,0.5298209,0.4525954,0.5117429,0.5082884,0.5041579,0.51501024,0.5514647,0.50137043,sanctity.virtue,0.5514647
3,இடும்பைக்(கு) இடும்பை இயலுடம்(பு) இதன்றே இடும்பொய்யை மெய்யென்(று) இராதே - இடுங்கடுக உண்டாயின் உண்டாகும் ஊழில் பெருவலிநோய் விண்டாரைக் கொண்டாடும் வீடு.,0.53082925,0.5535368,0.48429036,0.510351,0.55021745,0.47389713,0.56011826,0.48441702,0.60552406,0.6383881,sanctity.vice,0.6383881
4,எண்ணி ஒருகருமம் யார்க்கும்செய் ஒண்ணாது புண்ணியம் வந்தெய்து போதல்லால் - கண்ணில்லான் மாங்காய் விழவெறிந்த மாத்திரைக்கோல் ஒக்குமே ஆங்காலம் ஆகும் அவர்க்கு.,0.49932405,0.48031503,0.4467367,0.52017117,0.5122465,0.48858154,0.5041131,0.49770254,0.5478636,0.5752933,sanctity.vice,0.5752933
5,வருந்தி அழைத்தாலும் வாராத வாரா பொருந்துவன போமி(ன்) என்றால் போகா - இருந்தேங்கி நெஞ்சம் புண்ணாக நெடுந்தூரம் தாம்நினைந்து துஞ்சுவதே மாந்தர் தொழில்.,0.45626968,0.5245611,0.43658558,0.4903892,0.5053543,0.52034855,0.4911617,0.4881311,0.51392627,0.55769235,sanctity.vice,0.55769235
6,உள்ளது ஒழிய ஒருவர்க்(கு) ஒருவர்சுகம் கொள்ளக் கிடையா குவலயத்தில் -வெள்ளக் கடலோடி மீண்டும் கரையேறினால் என் உடலோடு வாழும் உயிர்க்கு.,0.3802997,0.2589202,0.26007214,0.21953358,0.25565863,0.2537291,0.2582743,0.26582634,0.3578616,0.2798518,care.virtue,0.3802997
7,எல்லாப்படியாலும் எண்ணினால் இவ்வுடம்பு பொல்லாப் புழுமலிநோய் புன்குரம்பை -நல்லார் அறிந்திருப்பார் ஆதலினால் ஆம்கமல நீர்போல் பிறிந்திருப்பார் பேசார் பிறர்க்கு.,0.4013913,0.36474812,0.3562435,0.36240974,0.38802695,0.33957404,0.36993128,0.35017878,0.42546344,0.4668788,sanctity.vice,0.4668788
8,ஈட்டும் பொருள்முயற்சி எண்ணிறந்த ஆயினும்ஊழ் கூட்டும் படியன்றிக் கூடாவாம் - தேட்டம் மரியாதை காணும் மகிதலத்தீர் கேண்மின் தரியாது காணும் தனம்.,0.59794664,0.5577252,0.5396138,0.5479923,0.60214394,0.48185378,0.6044876,0.49970627,0.60247916,0.58996457,authority.virtue,0.6044876
9,ஆற்றுப் பெருக்கற் றடிசுடுமந் நாளுமவ்வா(று) ஊற்றுப் பெருக்கால் உலகூட்டும் - ஏற்றவர்க்கு நல்ல குடிபிறந்தார் நல்கூர்ந்தார் ஆனாலும் இல்லை என மாட்டார் இசைந்து .,0.5208868,0.45232958,0.44515577,0.4443894,0.473711,0.4167897,0.49511552,0.48242027,0.5630491,0.5491773,sanctity.virtue,0.5630491
10,"ஆண்டாண்டு தோறும் அழுது புரண்டாலும் மாண்டார் வருவரோ மாநிலத்தீர் - வேண்டா! நமக்கும் அதுவழியே! நாம்போம் அளவும் எமக்கென்? என்(று) இட்டு, உண்டு, இரும்",0.61212474,0.5878444,0.5922829,0.5407136,0.636984,0.54565,0.5908149,0.5757175,0.6555674,0.61914337,sanctity.virtue,0.6555674
