verse_number,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
1,அகர முதல எழுத்தெல்லாம் ஆதி பகவன் முதற்றே உலகு.,0.49623528,0.5059267,0.51399064,0.52871656,0.53507805,0.5227022,0.6027524,0.5191829,0.5960278,0.56760573,authority.virtue,0.6027524
2,கற்றதனால் ஆய பயனென்கொல் வாலறிவன் நற்றாள் தொழாஅர் எனின்.,0.602288,0.58432436,0.5410981,0.5248748,0.5944377,0.4992255,0.6183708,0.49563748,0.6337707,0.6193863,sanctity.virtue,0.6337707
3,மலர்மிசை ஏகினான் மாணடி சேர்ந்தார் நிலமிசை நீடுவாழ் வார்.,0.5283803,0.50100225,0.50533843,0.5033913,0.6549814,0.4992183,0.54923415,0.51827693,0.5381722,0.56308824,loyalty.virtue,0.6549814
4,வேண்டுதல் வேண்டாமை இலானடி சேர்ந்தார்க்கு யாண்டும் இடும்பை இல.,0.48755935,0.4609797,0.48306695,0.48229414,0.55195105,0.4867224,0.46504676,0.53763276,0.51945364,0.5098834,loyalty.virtue,0.55195105
5,இருள்சேர் இருவினையும் சேரா இறைவன் பொருள்சேர் புகழ்புரிந்தார் மாட்டு.,0.53754175,0.45929766,0.44211105,0.43300897,0.48329717,0.4481448,0.5215198,0.43599963,0.617061,0.48597056,sanctity.virtue,0.617061
6,பொறிவாயில் ஐந்தவித்தான் பொய்தீர் ஒழுக்க நெறிநின்றார் நீடுவாழ் வார்.,0.35628247,0.34229803,0.37523144,0.3772633,0.38919425,0.4001156,0.4173572,0.40023616,0.45043087,0.38519156,sanctity.virtue,0.45043087
7,தனக்குவமை இல்லாதான் தாள்சேர்ந்தார்க் கல்லால் மனக்கவலை மாற்றல் அரிது.,0.48422158,0.48119843,0.5015916,0.51078796,0.49293482,0.4987927,0.48927727,0.5535774,0.5125539,0.49512035,authority.vice,0.5535774
8,அறவாழி அந்தணன் தாள்சேர்ந்தார்க் கல்லால் பிறவாழி நீந்தல் அரிது.,0.30845082,0.29377162,0.2961004,0.26913285,0.29869175,0.2563798,0.31023508,0.31335294,0.3688096,0.3683297,sanctity.virtue,0.3688096
9,கோளில் பொறியின் குணமிலவே எண்குணத்தான் தாளை வணங்காத் தலை.,0.3635956,0.38779682,0.34047353,0.45432383,0.40534604,0.4027234,0.45267108,0.42624122,0.44134974,0.48847577,sanctity.vice,0.48847577
10,பிறவிப் பெருங்கடல் நீந்துவர் நீந்தார் இறைவன் அடிசேரா தார்.,0.30560547,0.18254133,0.21730645,0.16831124,0.22631505,0.19572948,0.29267886,0.19830719,0.37780258,0.21721503,sanctity.virtue,0.37780258
11,வான்நின்று உலகம் வழங்கி வருதலால் தான்அமிழ்தம் என்றுணரற் பாற்று.,0.42355847,0.46088618,0.42299676,0.4418066,0.44870985,0.43044245,0.4760612,0.4498635,0.4959544,0.5693148,sanctity.vice,0.5693148
12,துப்பார்க்குத் துப்பாய துப்பாக்கித் துப்பார்க்குத் துப்பாய தூஉம் மழை.,0.300013,0.36767012,0.2878523,0.3178159,0.3103118,0.3281616,0.32404354,0.33817065,0.3383566,0.38432634,sanctity.vice,0.38432634
13,விண்இன்று பொய்ப்பின் விரிநீர் வியனுலகத்து உள்நின்று உடற்றும் பசி.,0.37417454,0.39437747,0.3051799,0.3804738,0.37154412,0.3630736,0.37343156,0.400688,0.43835297,0.50989246,sanctity.vice,0.50989246
14,ஏரின் உழாஅர் உழவர் புயல்என்னும் வாரி வளங்குன்றிக் கால்.,0.39361393,0.3892789,0.37130043,0.38672286,0.40209645,0.364415,0.41003656,0.39335436,0.41655174,0.46502292,sanctity.vice,0.46502292
15,கெடுப்பதூஉம் கெட்டார்க்குச் சார்வாய்மற் றாங்கே எடுப்பதூஉம் எல்லாம் மழை.,0.43283087,0.45818114,0.404883,0.42694014,0.4500985,0.38249853,0.4767733,0.38036537,0.473087,0.50679815,sanctity.vice,0.50679815
16,விசும்பின் துளிவீழின் அல்லால்மற் றாங்கே பசும்புல் தலைகாண்பு அரிது.,0.39774647,0.3677348,0.3336114,0.35315573,0.3427744,0.32338974,0.33769754,0.36027363,0.43371117,0.4621016,sanctity.vice,0.4621016
17,நெடுங்கடலும் தன்நீர்மை குன்றும் தடிந்தெழிலி தான்நல்கா தாகி விடின்.,0.3919284,0.37678835,0.36111063,0.38009465,0.424477,0.35618734,0.4378507,0.33292782,0.45529202,0.4189863,sanctity.virtue,0.45529202
18,சிறப்பொடு பூசனை செல்லாது வானம் வறக்குமேல் வானோர்க்கும் ஈண்டு.,0.43324044,0.43070298,0.41189772,0.44018042,0.4208039,0.41132066,0.4343934,0.4720712,0.50723505,0.56120914,sanctity.vice,0.56120914
19,தானம் தவம்இரண்டும் தங்கா வியன்உலகம் வானம் வழங்கா தெனின்.,0.59475636,0.47297934,0.48482293,0.41636384,0.5057043,0.45485288,0.53133464,0.43133622,0.62373686,0.46889305,sanctity.virtue,0.62373686
20,நீர்இன்று அமையாது உலகெனின் யார்யார்க்கும் வான்இன்று அமையாது ஒழுக்கு.,0.43164206,0.40581015,0.42268473,0.42367607,0.43182138,0.42399344,0.44243535,0.46141747,0.48807675,0.47928602,sanctity.virtue,0.48807675
21,ஒழுக்கத்து நீத்தார் பெருமை விழுப்பத்து வேண்டும் பனுவல் துணிவு.,0.5767796,0.56824946,0.55682415,0.5312983,0.58632505,0.5897185,0.6396866,0.5770394,0.6494557,0.604645,sanctity.virtue,0.6494557
22,துறந்தார் பெருமை துணைக்கூறின் வையத்து இறந்தாரை எண்ணிக்கொண் டற்று.,0.547356,0.62040794,0.5491801,0.605325,0.6249864,0.60523975,0.6030919,0.5588057,0.6111405,0.67031205,sanctity.vice,0.67031205
23,இருமை வகைதெரிந்து ஈண்டுஅறம் பூண்டார் பெருமை பிறங்கிற்று உலகு.,0.47365844,0.41957256,0.44690782,0.45383874,0.47995633,0.46489465,0.46272445,0.48505098,0.5359066,0.50068367,sanctity.virtue,0.5359066
24,உரனென்னும் தோட்டியான் ஓரைந்தும் காப்பான் வரனென்னும் வைப்பிற்கோர் வித்து.,0.5300094,0.48830774,0.4363046,0.45347238,0.49890742,0.4442551,0.5059674,0.43762437,0.5407735,0.5530546,sanctity.vice,0.5530546
25,ஐந்தவித்தான் ஆற்றல் அகல்விசும்பு ளார்கோமான் இந்திரனே சாலுங் கரி.,0.38105854,0.40447628,0.3774053,0.44776747,0.42008406,0.42456037,0.46586698,0.41774106,0.5014932,0.4805727,sanctity.virtue,0.5014932
26,செயற்கரிய செய்வார் பெரியர் சிறியர் செயற்கரிய செய்கலா தார்.,0.52701455,0.5425958,0.593456,0.56405723,0.628072,0.49557486,0.62904274,0.51935107,0.52939636,0.54844093,authority.virtue,0.62904274
27,சுவைஒளி ஊறுஓசை நாற்றமென ஐந்தின் வகைதெரிவான் கட்டே உலகு.,0.36708093,0.39059037,0.34253046,0.40949863,0.40424827,0.37650183,0.40443048,0.37624264,0.44482064,0.50897825,sanctity.vice,0.50897825
28,நிறைமொழி மாந்தர் பெருமை நிலத்து மறைமொழி காட்டி விடும்.,0.42719918,0.4348099,0.43756902,0.4601363,0.4554041,0.479314,0.51093364,0.47491223,0.50423324,0.48778784,authority.virtue,0.51093364
29,குணமென்னும் குன்றேறி நின்றார் வெகுளி கணமேயும் காத்தல் அரிது.,0.5921458,0.56483513,0.5135155,0.4823024,0.5077957,0.48259825,0.5123311,0.5317519,0.5709219,0.57496554,care.virtue,0.5921458
30,அந்தணர் என்போர் அறவோர்மற் றெவ்வுயிர் க்கும் செந்தண்மை பூண்டொழுக லான்.,0.40720803,0.4895522,0.4248696,0.4700778,0.5184505,0.48886144,0.4756912,0.48302853,0.5314083,0.52669144,sanctity.virtue,0.5314083
31,சிறப்பு ஈனும் செல்வமும் ஈனும் அறத்தினூஉங்கு ஆக்கம் எவனோ உயிர்க்கு.,0.5427673,0.44792038,0.44770232,0.4818167,0.46585536,0.44603375,0.52846706,0.42863703,0.5734294,0.49023613,sanctity.virtue,0.5734294
32,அறத்தினூஉங்கு ஆக்கமும் இல்லை அதனை மறத்தலின் ஊங்கில்லை கேடு.,0.59562266,0.6206047,0.6331216,0.5872003,0.63091326,0.576815,0.59031165,0.6406264,0.6596286,0.6629954,sanctity.vice,0.6629954
