verse_number,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
1,ஓதாமல் ஒருநாளும் இருக்க வேண்டாம் ஒருவரையும் பொல்லாங்கு சொல்ல வேண்டாம் மாதாவை ஒருநாளும் மறக்க வேண்டாம் வஞ்சனைகள் செய்வாரோடு இணங்க வேண்டாம் போகாத இடந்தனிலே போக வேண்டாம் போகவிட்டுப் புறம் சொல்லித் திரிய வேண்டாம் வாகாரும் குறவருடை வள்ளிபங்கன் மயிலேறும் பெருமானை வாழ்த்தாய் நெஞ்சே.,0.5583103,0.4892316,0.4898423,0.46876383,0.5352228,0.5019003,0.55537343,0.5115025,0.65034795,0.50800884,sanctity.virtue,0.65034795
2,நெஞ்சாரப் பொய் தன்னைச் சொல்ல வேண்டாம் நிலையில்லாக் காரியத்தை நிறுத்த வேண்டாம் நஞ்சுடனே ஒருநாளும் பழக வேண்டாம் நல் இணக்கம் இல்லாரோடு இணங்க வேண்டாம் அஞ்சாமல் தனிவழியே போக வேண்டாம் அடுத்தவரை ஒரு நாளும் கெடுக்க வேண்டாம் மஞ்சாரும் குறவருடை வள்ளிபங்கன் மயிலேறும் பெருமாளை வாழ்த்தாய் நெஞ்சே.,0.58432025,0.5341008,0.52757,0.51871955,0.5532111,0.5582913,0.5567236,0.5943501,0.62600464,0.54264235,sanctity.virtue,0.62600464
3,மனம்போன போக்கு எல்லாம் போக வேண்டாம் மாற்றானை உறவு என்று நம்ப வேண்டாம் தனம் தேடி உண்ணாமல் புதைக்க வேண்டாம் தருமத்தை ஒருநாளும் கெடுக்க வேண்டாம் சினம் தேடி அல்லலையும் தேட வேண்டாம் சினந்து இருந்தார் வாசல் வழிச் சேர வேண்டாம் வனம் தேடும் குறவருடை வள்ளிபங்கன் மயிலேறும் பெருமாளை வாழ்த்தாய் நெஞ்சே.,0.6064515,0.53412867,0.5472678,0.52321094,0.59454894,0.5581344,0.5742855,0.59662175,0.6586793,0.5641823,sanctity.virtue,0.6586793
4,குற்றம் ஒன்றும் பாராட்டித் திரிய வேண்டாம் கொலை களவு செய்வரோடு இணங்க வேண்டாம் கற்றவரை ஒருநாளும் பழிக்க வேண்டாம் கற்புடைய மங்கையரைக் கருத வேண்டாம் கொற்றவனோடு எதிர்மாறு பேச வேண்டாம் கோயில் இல்லா ஊரில் குடி இருக்க வேண்டாம் மற்று நிகர் இல்லாத வள்ளிபங்கன் மயிலேறும் பெருமாளை வாழ்த்தாய் நெஞ்சே.,0.45763898,0.44612187,0.45599556,0.39883116,0.4027086,0.49994308,0.41466266,0.505148,0.51131344,0.40868467,sanctity.virtue,0.51131344
5,வாழாமல் பெண்ணை வைத்துத் திரிய வேண்டாம் மனையாளை குற்றம் ஒன்றும் சொல்ல வேண்டாம் வீழாத படுகுழியில் வீழ வேண்டாம் வெஞ்சமரில் புறம் கொடுத்து மீள வேண்டாம் தாழ்வான குலத்துடனே சேர வேண்டாம் தாழந்தவரைப் பொல்லாங்கு சொல்ல வேண்டாம் வாழ்வாரும் குறவருடைய வள்ளி பங்கன் மயிலேறும் பெருமாளை வாழ்த்தாய் நெஞ்சே.,0.58356524,0.50738585,0.5077083,0.46228006,0.5427809,0.5062361,0.5341071,0.5357324,0.60604584,0.5075868,sanctity.virtue,0.60604584
6,வார்த்தை சொல்வார் வாய் பார்த்துத் திரிய வேண்டாம் மதியாதார் தலைவாசல் மிதிக்க வேண்டாம் மூத்தோர் சொல் வார்த்தைகளை மறக்க வேண்டாம் முன்கோபக் காரரோடு இணங்க வேண்டாம் வாத்தியார் கூலியை வைத்திருக்க வேண்டாம் வழிபறித்துத் திரிவாரோடு இணங்க வேண்டாம் சேர்ந்த புகழாளன் ஒரு வள்ளி பங்கன் திருக்கை வேலாயுதனைச் செப்பாய் நெஞ்சே.,0.570474,0.57462436,0.57719517,0.5680891,0.6372682,0.5888872,0.6258282,0.6337881,0.65037,0.60277313,sanctity.virtue,0.65037
7,கருதாமல் கருமங்கள் முடிக்க வேண்டாம் கணக்கு அழிவை ஒருநாளும் பேச வேண்டாம் பொருவார் தம் போர்க்களத்தில் போக வேண்டாம் பொது நிலத்தில் ஒருநாளும் இருக்க வேண்டாம் இருதாரம் ஒருநாளும் தேட வேண்டாம் எளியோரை எதிரிட்டுக் கொள்ள வேண்டாம் குருகாரும் புனம் காக்கும் ஏழை பங்கன் குமரவேள் பாதத்தைக் கூறாய் நெஞ்சே.,0.6519751,0.6059835,0.6235893,0.55710244,0.64678967,0.57800496,0.63246775,0.6098175,0.6687649,0.60361326,sanctity.virtue,0.6687649
8,சேராத இடம் தனிலே சேர வேண்டாம் செய்த நன்றி ஒருநாளும் மறக்க வேண்டாம் ஊரோடும் குண்டுணியாய்த் திரிய வேண்டாம் உற்றாரை உதாசினங்கள் சொல்ல வேண்டாம் பேரான காரியத்தைத் தவிர்க்க வேண்டாம் பிணைபட்டுத் துணை போகித் திரிய வேண்டாம் வாராரும் குறவருடை வள்ளி பங்கன் மயிலேறும் பெருமாளை வாழ்த்தாய் நெஞ்சே.,0.64526594,0.48905307,0.5223209,0.42709988,0.58966523,0.49332428,0.5688138,0.49887925,0.6280302,0.47494835,care.virtue,0.64526594
9,மண் நின்று மண் ஓரம் சொல்ல வேண்டாம் மனம் சலித்து சிலிக்கிட்டுத் திரிய வேண்டாம் கண் அழிவு செய்து துயர் காட்ட வேண்டாம் காணாத வார்த்தையை கட்டுரைக்க வேண்டாம் புண்படவே வார்த்தைகளைச் சொல்ல வேண்டாம் புறம் சொல்லித் திரிவாரோடு இணங்க வேண்டாம் மண் அளந்தான் தங்கை உமை மைந்தன் எங்கோன் மயிலேறும் பெருமாளை வாழ்த்தாய் நெஞ்சே.,0.627638,0.5326692,0.5170351,0.44134623,0.5434338,0.49839017,0.5384866,0.5272018,0.64001757,0.5319269,sanctity.virtue,0.64001757
10,மறம் பேசித் திரிவாரோடு இணங்க வேண்டாம் வாதாடி வழக்கு அழிவு சொல்லை வேண்டாம் திறம் பேசிக் கலகமிட்டுத் திரிய வேண்டாம் தெய்வத்தை ஒருநாளும் மறக்க வேண்டாம் இறந்தாலும் பொய்தன்னைச் சொல்ல வேண்டாம் ஏசலிட்ட உற்றாரை நத்த வேண்டாம் குறம் பேசி வாழ்கின்ற வள்ளி பங்கன் குமரவேள் நாமத்தை கூறாய் நெஞ்சே.,0.5628558,0.5598223,0.597018,0.5239701,0.56649005,0.5896179,0.54499364,0.6225611,0.6576351,0.5518487,sanctity.virtue,0.6576351
11,அஞ்சு பேர் கூலியைக் கைக்கொள்ள வேண்டாம் அது ஏது இங்கு என்னில் சொல்லக் கேளாய் தஞ்சமுடன் வண்ணான் நாவிதன் தன் கூலி சகல கலை ஓதுவித்த வாத்தியார் கூலி வஞ்சமற நஞ்சு அறுத்த மருத்துவச்சி கூலி மகா நோவுதனைத் தீர்த்த மருத்துவன் கூலி இன்சொல்லுடன் இவர் கூலி கொடாத பேரை ஏதெது செய்வானோ ஏமன்றானே.,0.5750968,0.4855457,0.5229671,0.50813115,0.5590745,0.4967623,0.5349792,0.50659347,0.58975077,0.50851643,sanctity.virtue,0.58975077
12,கூறாக்கி ஒரு குடியைக் கெடுக்க வேண்டாம் கொண்டைமேல் பூத்தேடி முடிக்க வேண்டாம் தூறாக்கித் தலையிட்டுத் திரிய வேண்டாம் துர்ச்சனராய் திரிவாரோடு இணங்க வேண்டாம் வீறான தெய்வத்தை இகழ வேண்டாம் வெற்றியுள்ள பெரியாரை வெறுக்க வேண்டாம் மாறான குறவருடை வள்ளி பங்கன் மயிலேறும் பெருமாளை வாழ்த்தாய் நெஞ்சே.,0.5569892,0.4926483,0.47866142,0.4499197,0.52516377,0.48501498,0.53709596,0.5163406,0.6383716,0.52899253,sanctity.virtue,0.6383716
13,ஆதரித்துப் பலவகையால் பொருள்கள் தேடி அருந்தமிழால் அறுமுகனைப் பாட வேண்டி ஓதுவித்த வாசகத்தால் உலகநாதன் காதலித்துக் கற்றோரும் கேட்ட பேரும் கருத்துடனே நாள்தோறும் களிப்பினோடு போதமுற்று மிக வாழ்ந்து புகழும் தேடிப் பூலோகம் உள்ள அளவும் வாழ்வார் தாமே.,0.5359474,0.50742185,0.50629956,0.52245414,0.59128505,0.5250424,0.57324326,0.53277814,0.60959375,0.5702845,sanctity.virtue,0.60959375
