verse_number,text,care.virtue,care.vice,fairness.virtue,fairness.vice,loyalty.virtue,loyalty.vice,authority.virtue,authority.vice,sanctity.virtue,sanctity.vice,dominant_moral,dominant_score
1,விவேக சிந்தாமணி அல்லல்போம்; வல்வினைபோம்; அன்னை வயிற்றில் பிறந்த தொல்லைபோம்; போகாத் துயரம்போம் - நல்ல குணமதிக மாம்அருணைக் கோபுரத்துள் மேவும் கணபதியைக் கைதொழுதக் கால். ஆபத்துக்கு உதவாப் பிள்ளை அரும்பசிக்கு உதவா அன்னம் தாபத்தைத் தீராத் தண்ணீர் தரித்திரம் அறியாப் பெண்டிர் கோபத்தை அடக்கா வேந்தன் குருமொழி கொள்ளாச் சீடன் பாபத்தைத் தீராத் தீர்த்தம் பயனில்லை ஏழும்தானே.,0.60436356,0.49979475,0.49323446,0.48054737,0.5529752,0.5047277,0.5626398,0.5348387,0.6296456,0.5279918,sanctity.virtue,0.6296456
2,பிள்ளைதான் வயதில் மூத்தால் பிதாவின் சொல் புத்தி கேளான் கள்ளினற் குழலாள் மூத்தால் கணவனைக் கருதிப் பாராள் தெள்ளற வித்தை கற்றால் சீடனும் குருவைத் தேடான் உள்ளநோய் பிணிகள் தீர்ந்தால் உலகர் பண்டிதரைத் தேடார்.,0.50893986,0.37163055,0.39650396,0.32968366,0.43018967,0.3262213,0.4818783,0.31171906,0.48477218,0.3746137,care.virtue,0.50893986
3,குக்கலைப் பிடித்து நாவிக் கூண்டினில் அடைத்து வைத்து மிக்கதோர் மஞ்சள் பூசி மிகுமணம் செய்தாலும் தான் அக்குலம் வேறதாமோ அதனிடம் புனுகு உண்டாமோ குக்கலே குக்கல் அல்லால் குலந்தனில் பெரியதாமோ?,0.35057843,0.34559453,0.32898986,0.3526148,0.38452452,0.3014425,0.3668599,0.34182405,0.41235924,0.4647076,sanctity.vice,0.4647076
4,ஒப்புடன் முகம் மலர்ந்தே உபசரித்து உண்மை பேசி உப்பிலாக் கூழ் இட்டாலும் உண்பதே அமிர்தம் கும் முப்பழ மொடு பால் அன்னம் முகம் கடுத்து இடுவாராயின் கப்பிய பசியினோடு கடும்பசி ஆகும் தானே.,0.38409984,0.30991054,0.2736801,0.3016902,0.32231444,0.27215517,0.31232053,0.31118035,0.40346837,0.40508434,sanctity.vice,0.40508434
5,கதிர்பெறு செந்நெல்வாடக் கார்க்குலம் கண்டு சென்று கொதிநிரைக் கடலில் பெய்யும் கொள்கைபோல் குவலயத்தே மதிதனம் படைத்த பேர்கள் வாடினோர் முகத்தைப் பாரார் நிதிமிகப் படைத்தோர்க் கீவார் நிலை இலார்க்கு ஈயமாட்டார்.,0.46971214,0.4806893,0.50342524,0.5225713,0.5532418,0.48638842,0.54285103,0.52283525,0.53164417,0.5894662,sanctity.vice,0.5894662
6,ஆலிலே பூவும் காயும் அளிதரும் பழமும் உண்டேல் சாலவே பட்சி எல்லாம் தன்குடி என்றே வாழும் வாலிபர் வந்து தேடி வந்திப்பர் கோடாகோடி ஆலிலை ஆதிபோனால் அங்கு வந்திருப்பர் உண்டோ?,0.2552678,0.17260912,0.21551871,0.24157158,0.27615726,0.2037664,0.23917249,0.21852995,0.25834432,0.26095828,loyalty.virtue,0.27615726
7,பொருட் பாலை விரும்புவார்கள் காமப்பால் இடைமூழ்கிப் புரள்வர் கீர்த்தி அருட்பாலாம் அறப்பாலைக் கனவிலுமே விரும்பார்கள் அறிவொன்று இல்லார் குருப்பாலர் கடவுளர்பால் வேதியர்பால் புரவலர்பால் கொடுக்கக் கோரார் செருப்பாலே அடிப்பவர்க்கு விருப்பாலே கோடி செம்பொன் சேவித்து இடுவார்.,0.49528262,0.42548013,0.37598595,0.4685729,0.43596256,0.40899098,0.45399973,0.39089942,0.52556956,0.5248194,sanctity.virtue,0.52556956
8,தண்டாமரையின் உடன் பிறந்தும் தண்டே நுகரா மண்டூகம் வண்டோ கானத்து இடைஇருந்து வந்தே கமல மதுவுண்ணும் பண்டே பழகி இருந்தாலும் அறியார் புல்லோர் நல்லோரைக் கண்டே களித்தங்கு உறவாடித் தம்மில் கலப்பார் கற்றாரே.,0.35041133,0.30688512,0.2925232,0.34203687,0.4074574,0.27314955,0.35617402,0.27850658,0.3838648,0.4319713,sanctity.vice,0.4319713
9,வானரம் மழைதனில் நனையத் தூக்கணம் தானொரு நெறிசொலத் தாண்டி பிய்த்திடும் ஞானமும் கல்வியும் நவின்ற நூல்களும் ஈனருக்கு உரைத்திடில் இடர்அது ஆகுமே!,0.47432125,0.5014352,0.4398582,0.4652127,0.4863653,0.47330096,0.51406395,0.46522838,0.5512898,0.53626394,sanctity.virtue,0.5512898
10,வண்டு மொய்த்தனைய கூந்தல் மதன பண்டாரவல்லி கெண்டையோடு ஒத்த கண்ணாள் கிளிமொழி வாயின் ஊறல் கண்டு சர்க்கரையோ தேனோ கனியடு கலந்த பாகோ அண்டர் மாமுனிவர்க்கு எல்லாம் அமுதம் என்று அளிக்கலாமே!,0.3649618,0.29813424,0.28852326,0.35388398,0.36625838,0.27681577,0.3717566,0.26780134,0.41323018,0.43665832,sanctity.vice,0.43665832
